Genomic bins	17119-05-25-243200085	17119-05-08-243200071	17119-05-35-243200067	17119-05-33-243200064	17119-05-16-243200072	17119-05-04-243200101	17119-05-28-243200078	17119-05-01-243200068	17119-05-38-243200077	17119-05-32-243200092	17119-05-15-243200093	17119-05-36-243200079	17119-05-02-243200066	17119-05-23-243200073	17119-05-12-243200081	17119-05-22-243200094	17119-05-20-243200063	17119-05-26-243200098	17119-05-30-243200082	17119-05-14-243200089	17119-05-06-243200069	17119-05-09-243200070	17119-05-13-243200076	17119-05-05-243200087	17119-05-07-243200099	17119-05-40-243200090	17119-05-11-243200091	17119-05-21-243200075	17119-05-27-243200083	17119-05-37-243200074	17119-05-24-243200088	17119-05-34-243200097	17119-05-31-243200080	17119-05-19-243200062	17119-05-18-243200100	17119D-05-29-243200065	17119-05-39-243200084	17119-05-10-243200096	17119-05-17-243200086	17119-05-03-243200095
sinASSsinBIN_bin.164	109.212825	0.0	0.0	0.03126	0.0	0.0	1.106308	0.019833	0.0	0.018843	0.0	2.663597	0.0	0.0	0.0	0.0	0.0	0.273957	0.042338	0.0	0.0	0.003878	0.0	0.146073	0.0	0.0	0.0	0.0	0.246298	0.0	0.0	0.02107	40.614867	0.0	0.0	0.004468	0.0	0.0	0.014574	0.0
sinASSsinBIN_bin.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.096001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.500196	0.0	0.0	0.0
sinASSsinBIN_bin.341	0.0	0.088181	0.153871	0.0	0.0	0.0	0.194084	0.0	0.0	3.106879	0.0	0.260753	0.0	0.28544	0.0	0.0	0.0	0.179708	0.901889	12.482957	0.0	0.0	0.0	0.0	0.0	0.014634	0.286187	0.0	0.0	5.371413	0.0	0.058705	4.034212	0.0	0.0	1.204442	0.0	0.0	0.0	0.0
sinASSsinBIN_bin.517	4.387927	2.034981	0.000341	1e-06	0.023232	4.394318	0.000982	1.447386	5.013818	2e-05	1.50142	0.0	0.168719	7e-06	2.996898	5.650697	14.653197	0.011989	4.436981	0.002343	18.551516	7.84785	44.770409	0.329794	3.908655	0.0	10.878371	1.214657	0.002846	6e-05	0.395987	1.064651	1.8e-05	3e-06	3.037575	3.175604	1e-06	4.643036	2.124905	5.234475
sinASSsinBIN_bin.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.118714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.744563	0.0	0.0	0.667467	0.0	0.0	0.0
sinASSsinBIN_bin.19	0.0	2.842124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.908884	0.0	0.0	0.0	0.0	0.0	2.122025	0.0	0.0	0.0	0.0	0.0	0.0	0.080797	2.574479	0.0	0.785107	0.0	0.0	0.0	0.013039	0.0	1.091851	1.778076	0.0	0.038237	0.0
sinASSsinBIN_bin.251	0.0	0.14579	0.051526	0.060695	0.0	0.00691	0.001007	0.0	0.023093	0.0	0.0	40.198023	0.0	0.0	0.107236	0.0	0.001055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.386382	0.0	0.001647	0.0	0.138489	0.0	0.055024	0.225288	0.0	0.0	0.012826	0.092524	0.0	0.0	0.0
sinASSsinBIN_bin.583	0.0	0.077048	0.0	3.701761	0.432676	0.333841	3e-06	2.610432	1.073304	0.0	13.232371	0.0	261.236406	0.132616	0.534213	0.0	0.0	0.0	0.0	4.72466	0.022067	0.0	0.427997	1.615848	0.020932	0.0	0.0	0.0	0.0	0.0	0.887593	0.0	0.0	3.266756	0.0	0.0	0.0	0.069001	0.0	16.329306
sinASSsinBIN_bin.238	0.0	0.0	0.0	16.417795	0.0	0.0	0.781242	0.0	7.245633	0.0	0.0	0.114961	0.0	0.0	0.0	0.0	0.0	0.0	8.918984	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.032557	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sinASSsinBIN_bin.280	0.0	0.0	0.047566	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0343	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.197651	0.0	10.371992	0.0	42.674634999999995	0.0	0.022888	0.0	0.0	0.0	0.0	0.181766	0.0	0.0	0.0
