""	"17119-05-01-243200068"	"17119-05-02-243200066"	"17119-05-03-243200095"	"17119-05-04-243200101"	"17119-05-05-243200087"	"17119-05-06-243200069"	"17119-05-07-243200099"	"17119-05-08-243200071"	"17119-05-09-243200070"	"17119-05-10-243200096"	"17119-05-11-243200091"	"17119-05-12-243200081"	"17119-05-13-243200076"	"17119-05-14-243200089"	"17119-05-15-243200093"	"17119-05-16-243200072"	"17119-05-17-243200086"	"17119-05-18-243200100"	"17119-05-19-243200062"	"17119-05-20-243200063"	"17119-05-21-243200075"	"17119-05-22-243200094"	"17119-05-23-243200073"	"17119-05-24-243200088"	"17119-05-25-243200085"	"17119-05-26-243200098"	"17119-05-27-243200083"	"17119-05-28-243200078"	"17119-05-30-243200082"	"17119-05-31-243200080"	"17119-05-32-243200092"	"17119-05-33-243200064"	"17119-05-34-243200097"	"17119-05-35-243200067"	"17119-05-36-243200079"	"17119-05-37-243200074"	"17119-05-38-243200077"	"17119-05-39-243200084"	"17119-05-40-243200090"	"17119D-05-29-243200065"
"K00001"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"K00002"	0	0	0	1	1	0	1	3	0	0	0	21	1	46	0	0	0	0	115	2	43	1	1	1	0	0	0	5	2	4	0	1	1	2	10	4	0	164	141	0
"K00003"	7528	315	363	1251	872	842	20	1177	81	462	1993	1373	66	3227	841	885	776	793	3699	214	2853	126	4707	46	1015	4412	370	2762	229	3418	6331	1429	559	2080	3067	3573	3305	6005	8377	1199
"K00004"	5640	102	16	650	68	2	0	6	11	3	4	13	5	117	58	9	1	0	23	3	3	0	2	63	14	10	102	133	49	21	64	89	4	8	20	69	82	6	80	62
"K00005"	36	1159	282	168	2837	68	47	939	41	158	712	2171	118	3446	282	3878	223	326	2054	15	771	7	6010	2940	532	2807	5328	6034	679	2232	2163	1787	5219	283	1373	3184	4235	1591	1987	1008
"K00006"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0
"K00007"	0	0	2	0	0	0	0	4	0	0	1	0	0	24	2	0	0	0	1	0	0	0	3	0	1	1	3061	1	1	0	5	0	0	0	0	4	0	2	0	1
"K00008"	22	510	45	806	38	21	37	321	5	59	42	481	19	1571	749	470	5	4	487	6	242	2	4069	93	5	7	81	951	16	763	85	376	10	13	717	297	1496	1185	1404	61
"K00009"	143	1287	345	279	3002	35	87	802	154	113	611	1246	88	1849	736	3562	69	273	1242	104	185	20	7250	5087	1323	2140	2986	3898	718	4025	1334	3106	5360	2045	1376	2637	2814	391	1021	1268
"K00010"	2833	32	38	47	45	102	8	1009	124	8	168	553	8	688	71	67	3	78	184	53	133	3	184	1	3	86	26	2179	21	470	372	14	43	141	341	435	4	481	1190	307
"K00011"	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	1	2	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	10	0
"K00012"	4569	178	871	3501	2654	5968	2749	4555	2250	3555	3350	2681	3122	2484	2753	2364	1212	2793	1781	3404	2082	3598	3185	4580	3265	536	3043	4314	5061	2688	2940	3943	1667	4402	2618	3532	1056	3411	5202	3445
"K00013"	3023	200	404	1229	2392	1122	85	1584	195	119	519	1677	83	1965	796	3898	101	315	1162	32	462	13	2898	2814	493	1279	4447	3681	1154	2215	1651	3844	3933	882	1887	2426	1003	4219	6831	1083
"K00014"	3373	797	599	2097	2865	1742	963	1875	1142	1620	1544	2432	1102	3041	1529	3161	387	1072	1471	1049	1287	1146	4201	1710	2011	1816	2075	5537	1776	2496	2039	1807	3869	1650	2236	3201	4652	3991	6469	1984
"K00015"	5	90	3	787	10	116	15	71	28	36	251	30	20	418	75	47	166	125	819	80	616	6	467	50	153	413	4	54	16	988	1086	184	24	38	235	151	424	447	1273	77
"K00016"	5668	2051	1057	2810	1765	3489	1026	2250	1305	2485	4587	1936	1395	6414	3331	2603	2320	2954	7371	1574	3645	1474	9090	1387	3575	10484	444	6200	1899	5573	8148	3484	1287	4550	6704	8799	12051	4692	6200	3039
"K00018"	47	24	25	1	9	1143	2	1243	103	3	96	449	9	1258	16	229	6	89	763	6	183	14	2069	12	4	82	9	600	34	679	787	354	65	56	608	297	17	2360	3813	230
"K00019"	2146	19	23	54	68	3	0	5	2	0	1	1	3	3	3	11	0	0	0	0	3	1	9	0	1	58	0	9	18	1	35	0	1	1	0	74	40	10	15	29
"K00020"	5347	178	382	2292	94	3180	1844	855	2004	2712	2131	1063	2112	893	1664	758	708	1527	462	2188	1502	2411	2056	499	2687	506	225	1162	2515	1153	444	433	532	193	427	961	3903	410	848	1521
"K00021"	0	0	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	352	0	0	0	0	0	0	1	1	2	0	408	179	0
"K00022"	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	12	0	8	0	3	0	0	0	0	1	0	9	0	7	0	0	0	1	2	5	7	0
"K00023"	108	2	0	3	1	0	1	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	19	0	1	1	0	1	0	12	51	0
"K00024"	2520	99	133	399	1641	479	40	2128	85	56	566	959	43	881	75	1784	42	151	571	35	83	3	506	2017	173	1195	2795	1758	722	584	1246	1769	1974	173	1571	1132	260	1722	2756	858
"K00025"	0	1	0	0	0	1	0	0	0	4	0	0	4	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	8	1	0
"K00026"	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	1	2	1	0	0	0	1	3	3	1	1	10	0
"K00027"	10514	358	226	1185	2808	140	100	922	77	258	445	1790	173	1244	402	3837	248	364	1264	65	818	47	4294	2764	576	3303	4396	4382	868	1151	1592	3668	5116	506	1434	2091	9271	3222	5186	899
"K00028"	0	0	1	0	0	0	0	0	0	0	0	56	0	0	10	1	0	0	0	0	0	0	0	0	2	1	46	362	0	118	0	1	0	0	10	0	0	0	2	0
"K00029"	4	30	257	174	2310	109	79	2355	266	106	650	1792	54	1021	135	3584	118	192	1018	17	142	4	886	1968	476	2136	4611	3417	652	477	1458	1367	4602	88	1586	1868	162	1538	3229	847
"K00030"	1	3	1	0	4	40	2	186	1	1	31	122	6	45	0	132	5	2	172	0	424	1	522	0	2	3	2	209	7	275	81	1	11	3	253	472	5	625	1579	94
"K00031"	3545	164	365	1238	634	1608	21	2107	210	48	415	979	38	2427	1113	1168	19	284	966	60	316	14	2259	3384	694	446	2697	2181	1181	1762	1550	3637	967	897	1606	1913	919	1964	2946	790
"K00033"	5403	2615	1303	8844	2005	9350	4592	3729	4600	7331	6518	2963	5218	5000	4797	4198	3845	5128	3705	5656	4788	6090	5675	4637	8214	5185	2978	4850	6718	4832	4774	3559	7710	679	4663	3335	7184	2553	3665	3997
"K00034"	2798	529	28	493	53	29	19	42	61	144	85	63	50	13	69	289	7	15	16	25	42	17	110	625	81	4	0	356	155	33	5	71	11	17	10	15	90	8	8	86
"K00035"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"K00036"	5411	811	636	3701	3181	2393	1314	3290	1393	2233	3460	3277	1714	3925	1619	5836	1133	1855	3943	1765	3200	1791	3490	3350	2619	9255	3642	6150	2877	2608	6234	3091	6609	346	3129	3255	6783	1372	1902	2354
"K00038"	24	8	2	0	1	24	1	16	1	32	4	1	0	87	0	14	17	23	6	7	1	9	0	8	11	174	0	0	0	52	12	185	35	1	136	61	1	35	32	9
"K00039"	0	0	0	0	0	0	0	5	0	0	0	0	0	7	3	0	0	0	2	0	0	0	0	0	0	1	1901	0	1	0	1	1	0	0	0	2	0	2	0	0
"K00040"	25	175	418	211	4393	309	113	1258	136	163	883	3020	158	3016	172	6977	161	311	1783	54	628	44	3180	4609	789	2690	6516	4021	1815	1518	2016	4640	8045	194	1851	3106	564	1956	2135	1216
"K00041"	4	37	88	41	832	51	29	1582	113	25	153	709	39	691	36	2101	31	61	673	13	240	6	297	3252	233	512	2294	1403	924	833	612	2351	2978	74	848	713	268	1214	1625	284
"K00042"	2	4	217	162	2855	57	72	654	55	86	481	1658	80	686	98	2972	65	205	731	6	86	3	848	511	524	1754	2786	3515	282	474	1386	399	5997	103	1102	1494	70	183	335	725
"K00045"	0	0	0	0	0	0	1	2	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	49	11	4	0	48	1	1	0	3	0	8	121	0
"K00046"	115	495	50	23	263	108	6	818	96	45	62	226	32	169	58	1194	6	3	273	2	185	1	568	531	265	164	11	1621	64	239	260	671	1234	55	735	482	1150	904	1250	75
"K00048"	4	149	193	78	984	161	30	871	185	49	363	1316	35	1261	56	2651	56	147	817	20	399	10	2283	1	196	790	505	1825	149	1705	705	131	2395	71	975	1520	58	1441	2972	483
"K00049"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	19	0
"K00052"	3797	538	517	1039	2303	646	48	2064	178	126	550	1894	67	1706	1297	2063	73	360	1177	47	421	11	3156	2599	617	1468	2341	3687	665	1811	1637	2737	2454	1896	2179	2674	1026	3495	5749	1181
"K00053"	5927	515	579	1204	3133	736	81	1568	128	110	608	1813	84	2116	1239	2861	103	452	1449	55	366	9	3315	4346	661	1954	4899	3171	1135	1649	2254	4602	3312	2877	2391	2974	955	2983	4859	1584
"K00054"	19	272	636	1433	1185	132	28	400	55	242	1716	476	36	1441	1474	576	503	500	3121	243	2456	56	944	35	335	2451	341	2644	159	2008	5885	1440	167	2795	1501	1965	2454	961	916	775
"K00055"	2	0	0	2	1	211	0	208	17	198	110	112	3	2345	6	17	88	374	840	80	28	51	346	2	200	928	2	248	6	825	560	138	189	28	1353	689	16	169	279	132
"K00057"	4150	1342	1609	8204	3208	10718	5612	4478	5887	8569	7259	4341	6598	4196	5470	5745	2745	5322	3978	6200	5610	7233	5346	3667	8591	4587	4002	5792	7808	3100	4844	2794	6336	719	2987	3761	5028	3816	6118	4910
"K00058"	2936	369	1048	2302	3209	2153	857	2842	871	1358	1580	3199	998	3883	2125	4218	455	1257	2505	940	1634	990	6732	6079	2165	1991	2608	7989	2169	7568	2411	3361	4344	1048	3588	3840	1204	6605	10807	1951
"K00059"	13549	2018	1210	4377	2845	4278	1845	4088	2190	3370	3590	3476	2453	4701	3400	3239	1295	2243	4894	2485	4270	2447	7065	4833	3955	3688	2620	6869	3783	5241	5699	4807	4270	4581	3689	4832	8694	6913	10109	3487
"K00060"	7	7	129	59	1534	135	23	424	18	39	312	1385	47	548	55	1563	60	123	611	1	64	1	386	2154	65	945	3975	2105	465	845	637	1833	683	48	958	573	214	811	834	381
"K00064"	1975	23	5	53	69	0	0	66	0	0	1	0	5	20	1	0	0	0	0	0	4	0	8	0	0	110	0	0	1	0	5	0	0	0	0	49	0	1	5	53
"K00065"	3	5	121	59	1491	26	35	399	22	31	301	923	35	361	57	1529	49	139	569	3	168	4	633	2397	224	924	3515	1918	640	413	697	1742	2163	44	665	797	255	422	528	435
"K00066"	24	1394	97	1	10	4	0	20	0	1	4	11	2	28	87	7	76	0	48	0	1	0	1	3	0	2	0	0	28	0	0	34	0	1	0	5	10	52	39	0
"K00067"	6817	1093	579	1167	1173	1160	501	3760	543	1288	1326	1352	733	2970	1452	1643	450	1058	3195	749	1123	775	3550	1482	1337	2024	761	3378	964	3281	1912	1321	445	2362	2600	3337	2910	3367	6034	1301
"K00068"	10	163	172	184	2317	40	41	554	92	56	415	1055	36	895	97	1988	72	163	577	9	211	6	3968	1076	536	1125	3178	3121	430	1260	1232	1240	3275	196	890	1549	3746	253	489	757
"K00070"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"K00073"	1	7	86	94	1519	40	43	299	36	82	282	826	54	391	39	1708	51	107	474	26	151	26	1136	8	285	1366	719	2093	119	246	780	453	3465	251	630	837	4389	248	294	405
"K00074"	3044	130	263	260	3136	476	70	987	65	559	1371	2023	114	2910	138	4728	421	622	2306	176	671	95	2983	2024	421	3915	5044	4756	530	1750	2891	2126	365	92	2936	2908	350	2431	2246	1232
"K00075"	5704	964	358	1437	1908	978	95	2438	258	300	1493	2056	113	2784	776	2696	466	514	3241	221	1674	62	4854	3424	1194	3161	2119	4349	928	3513	4125	2869	3126	1114	1979	3161	4959	4564	6734	1435
"K00076"	5	1	42	25	524	36	10	194	10	38	122	465	11	165	22	738	13	35	156	1	14	0	127	0	93	242	339	861	33	104	229	32	989	13	327	317	9	31	88	178
"K00077"	4765	2000	588	1890	2645	361	51	1708	42	313	1560	1187	83	2359	1365	3583	478	543	2677	148	1386	63	4329	4517	520	3937	5134	3665	1040	2094	3601	4151	2792	2993	3091	3657	6715	3302	3983	1351
"K00078"	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"K00079"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K00086"	1	1	1	40	0	221	5	134	6	274	353	64	5	388	24	567	148	248	586	103	241	42	208	0	183	929	4	376	27	299	627	8	141	5	1032	457	3	291	234	116
"K00087"	138	58	78	33	1086	77	22	477	19	23	178	1373	33	486	32	2236	18	106	797	2	359	1	412	30	382	574	625	1694	51	333	544	970	4638	44	1170	968	7	1813	1654	350
"K00088"	6206	2247	1296	5762	783	7809	3663	3944	4019	5981	5785	3106	5085	5598	4338	4418	3240	4337	4472	5055	4925	5546	8018	4796	6095	4417	1470	3984	5778	4471	5400	3731	2319	1416	3838	4139	9418	7386	11237	3709
"K00090"	3758	32	123	161	1500	25	52	306	27	57	358	871	37	498	47	1633	60	116	431	9	35	3	295	2375	265	1310	1548	1642	676	343	774	1783	3128	59	465	728	231	149	180	567
"K00091"	2	2	1	0	0	15	0	20	0	0	0	171	0	87	0	0	2	1	192	0	3	0	1	3	0	0	0	7	23	84	4	3	9	1	17	28	1	1138	782	0
"K00094"	4	6	148	93	2261	32	45	430	18	65	384	1056	53	618	65	2703	48	142	504	2	49	0	566	1	347	1093	1088	2565	55	329	1042	108	4335	67	700	1071	13	107	183	568
"K00096"	0	0	0	1	1	4	1	26	1	1	10	20	0	38	1	38	0	1	146	1	59	0	1871	2	0	0	0	1	1	955	4	4	5	5	73	69	5	2305	2447	32
"K00097"	1	5	136	106	1395	731	43	1131	43	64	570	857	31	410	72	1747	59	123	584	8	140	5	402	2707	387	1648	2670	2215	804	272	895	2124	3467	109	1408	861	256	1529	2614	771
"K00098"	1	1	10	45	363	15	8	57	20	16	3	166	0	88	23	368	1	8	61	2	2	0	200	1	119	83	1	614	2	40	325	5	1800	11	8	209	1	44	92	59
"K00099"	3685	47	256	447	2299	226	56	2565	192	95	523	2152	74	2133	175	2627	53	236	1236	38	706	2	2971	1270	398	1268	2897	3415	617	1951	1737	1723	4151	94	1878	2214	260	4822	7440	864
"K00100"	0	0	0	0	0	15	0	17	0	0	6	1	0	2	0	0	2	0	2	0	29	0	1840	0	0	1	0	0	0	99	0	0	0	0	31	42	0	36	53	29
"K00101"	2	5	119	98	2408	26	39	450	37	46	628	1158	48	659	71	1930	113	122	645	15	70	1	745	1217	277	2082	2664	2075	470	410	1561	1053	3353	65	768	1018	179	153	368	846
"K00102"	3125	24	11	57	33	1	3	129	2	0	1	56	4	3	35	1	1	0	7	3	45	0	3	0	0	0	0	0	0	0	53	3	1	1	1	290	2	84	320	50
"K00104"	2974	76	275	519	3339	1921	76	729	147	108	131	2215	93	1978	159	4559	794	535	1104	171	345	11	1859	35	695	1128	2273	4347	147	790	2156	662	5988	344	2027	1776	48	6314	7734	698
"K00105"	317	2341	493	2649	77	2860	1671	686	1717	2688	1938	901	2243	1701	1812	3273	713	1525	441	2063	1257	2487	950	1546	2429	425	100	996	2674	75	128	629	476	189	179	382	5525	7	18	1318
"K00106"	0	0	0	0	1	14	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	12	0
"K00108"	17	362	130	920	1925	21	66	423	29	89	32	1005	49	552	391	1877	3	108	528	6	70	1	985	1554	507	428	1661	1402	362	308	1063	1527	5506	62	711	1136	1006	168	349	226
"K00109"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	0
"K00111"	5566	381	211	1119	2920	95	97	1323	315	124	629	2724	76	2606	384	4512	113	308	1943	73	653	4	4853	5435	1301	1987	6933	3959	1457	2713	2069	4698	13084	234	2229	3114	1160	6757	9370	1082
"K00112"	1	3	27	43	233	4	11	173	171	20	199	332	6	594	5	582	33	57	207	23	29	0	386	2426	296	564	1029	507	559	389	435	1880	3098	65	342	422	210	1044	1546	302
"K00113"	3	4	73	33	881	17	30	262	110	23	164	515	27	527	39	851	25	91	228	20	27	6	221	2070	142	428	1725	1152	712	442	654	1980	959	123	594	569	255	981	1681	310
"K00114"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K00116"	4042	681	250	2576	3064	829	88	621	105	117	438	2314	96	955	830	3462	61	217	724	20	91	15	794	3190	560	1481	4033	4247	947	554	1545	2503	5363	114	1164	1513	1508	196	537	874
"K00117"	6	8	204	148	2044	29	66	412	22	62	337	1583	42	698	58	2268	74	202	711	12	81	5	751	8089	332	1206	8104	2228	2351	441	1316	7223	3083	67	1186	1434	814	205	300	599
"K00119"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
"K00121"	4559	1184	443	1680	2105	2393	1311	921	1314	1904	1694	2123	1696	874	1459	3769	533	1249	521	1578	856	1807	689	5170	2018	1061	4827	2845	3725	523	1156	4637	3479	125	825	1083	1431	183	249	1356
"K00122"	3	17	5	639	0	1	6	0	0	17	5	0	2	6	1	2	0	1	0	0	0	0	0	49	0	0	17	0	0	0	0	184	0	0	2	0	324	10	8	2
"K00123"	9604	414	325	2218	5028	1383	156	1004	306	193	1045	2968	153	1670	553	5735	140	345	1389	29	166	29	1549	9916	832	4225	8023	5135	2588	1079	3420	7628	8959	493	1726	2575	4855	808	2055	1643
"K00124"	5	4	97	60	1411	208	25	405	115	49	304	1043	40	703	67	1431	42	93	476	9	38	5	412	1942	174	989	2695	2095	428	432	1067	1382	1339	89	568	779	154	188	492	480
"K00125"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	681	29	0
"K00127"	1	1	27	15	351	986	8	125	95	13	58	247	11	452	11	418	13	63	83	4	10	10	133	964	48	297	841	461	255	295	589	779	534	75	137	203	88	71	149	193
"K00128"	7424	357	62	1631	204	83	31	248	11	40	15	551	21	1222	339	1055	7	24	364	4	404	6	1917	128	6	19	76	431	38	558	63	672	28	12	522	957	1125	2383	2678	58
"K00129"	0	0	0	0	1	0	2	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	13	14	0
"K00130"	18	553	184	1151	1861	45	60	391	24	82	33	1430	47	502	765	2092	10	123	558	5	85	5	481	6780	158	372	6509	2498	1776	389	1036	5658	1407	53	627	935	1628	247	390	148
"K00131"	2566	183	120	607	333	13	3	42	2	12	10	487	28	183	378	724	4	76	79	7	2	1	119	25	80	29	420	2708	147	1233	189	692	30	732	290	434	21	179	636	144
"K00132"	0	0	0	0	1	5	0	46	3	23	1	32	0	13	59	7	0	0	24	2	19	0	110	1	0	0	21	190	1	11	24	41	10	1	147	230	111	53	202	14
"K00133"	3393	1097	1279	3415	3561	4691	2235	3005	2216	3243	3612	3652	2621	4086	3861	4582	1114	2693	3120	2645	2528	2994	5056	2901	4243	2952	2085	5509	3642	3571	4701	3360	6359	3129	3741	4617	4614	5309	7855	3178
"K00134"	6801	2047	1724	8164	2459	9198	4774	4027	5161	7724	6407	4301	5559	5084	5718	4027	2723	4734	4519	5402	5995	6215	5472	6813	6755	4373	5904	6398	7339	3266	5729	5570	4007	3303	3299	4711	9804	6378	8073	4863
"K00135"	5830	94	871	1922	4238	1340	739	1097	782	1211	1746	1668	976	4078	2028	2635	1220	1182	3245	1134	1479	964	3115	985	2413	2767	6376	4129	1488	2515	3956	2392	4994	4687	1751	4436	668	1079	2321	2623
"K00137"	4	4	111	91	1653	16	40	444	27	64	333	1123	34	561	62	2260	57	102	624	6	49	4	480	1394	268	1012	1535	2286	318	280	864	594	2908	50	691	1110	90	130	222	499
"K00138"	5	13	181	185	2498	41	84	596	55	113	758	2127	68	1170	129	3361	130	209	1001	56	87	4	802	2601	717	2553	4462	3273	788	633	1589	1630	6187	106	1509	1620	348	232	785	1061
"K00140"	7377	81	29	136	434	26	5	136	198	6	52	599	11	925	104	2	1	39	193	86	42	2	111	136	13	90	280	1704	52	459	818	321	42	735	178	610	110	213	791	422
"K00141"	2	0	0	0	0	0	0	0	0	0	1	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K00142"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"K00145"	1422	118	954	584	4201	904	44	1815	98	89	617	2325	74	2924	2009	2726	57	588	1850	32	587	16	3979	2163	482	1259	3606	4972	757	2662	2779	3887	2177	5501	2758	4314	674	3663	5808	1845
"K00146"	3	2	53	59	837	8	33	171	13	32	272	522	24	302	36	1263	38	72	432	3	50	3	144	1628	4	631	2067	1170	513	208	469	1013	5	31	463	454	149	67	156	353
"K00147"	2653	354	556	3000	1823	4248	2232	3253	2430	3527	3797	2236	3073	2747	2309	3244	1103	2203	2607	2741	2058	3149	4816	2096	4420	2513	2110	3717	3886	2386	2345	2670	4181	1251	2286	2917	7693	4876	8478	2899
"K00148"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	534	1	0	363	2	526	0	0	1079	0	1	0	5	147	0	3	0
"K00149"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0
"K00150"	0	1	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	1	0	0	0	5	2	0	0	0	0	6	0	1	1	0	0	1	2	0	327	318	0
"K00151"	4	9	148	39	1620	38	46	356	50	44	58	1202	56	516	115	1676	8	171	396	19	37	5	193	3732	10	401	4169	2335	1029	432	835	2960	22	39	742	679	408	103	212	260
"K00153"	384	0	0	1	1	0	0	0	9	1	0	20	1	138	8	1	0	0	13	16	0	0	3	48	2	5	95	109	19	58	111	42	9	3	20	42	24	23	175	62
"K00154"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	9	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	1	0	1	0	0	1	10	27	1
"K00156"	2	10	209	69	2024	30	34	835	37	49	227	1081	50	796	117	2169	34	82	436	3	89	3	732	1789	743	605	2791	2494	405	269	637	764	8314	72	1330	1199	126	238	512	496
"K00157"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	0
"K00158"	4259	1068	449	3583	122	3159	1857	808	2152	3389	3192	1067	2601	3284	2126	818	1247	1675	3036	2506	3844	2583	438	773	2976	1850	62	256	3002	777	4675	163	537	56	283	285	1697	929	1415	1547
"K00161"	1646	432	579	2057	1056	1277	740	608	793	1353	1374	804	903	1292	1833	1096	415	1029	951	818	696	924	1425	373	1349	1448	438	3199	1152	1279	1368	1305	371	2336	1449	2153	4669	379	444	1276
"K00162"	2859	894	329	1236	1852	184	65	341	89	134	339	274	86	1809	736	867	108	289	1073	77	238	95	1425	987	627	1076	255	2577	204	909	1455	1940	107	4139	759	2340	4801	410	320	1076
"K00163"	671	15	282	176	3626	62	77	747	251	145	623	2589	120	1194	179	4133	87	247	1048	59	142	9	1228	6083	927	1918	6186	4793	1883	926	2104	4435	11158	176	1666	2016	638	375	989	1054
"K00164"	7540	429	270	1617	3651	87	142	922	104	183	677	3028	119	2639	624	4938	101	348	1039	47	135	7	1055	3501	520	2713	5093	5103	1050	1446	2590	2856	5393	175	2200	2479	1429	350	899	1323
"K00166"	3820	84	4	572	54	2	15	1	0	6	2	4	5	2	26	18	0	0	0	1	1	0	135	18	2	114	2	185	21	13	14	180	0	50	4	18	1072	1	6	6
"K00167"	2701	266	13	717	72	0	16	7	5	20	3	90	13	7	256	6	0	8	1	4	4	0	388	32	1	280	23	596	19	36	24	353	5	89	8	39	2825	3	6	19
"K00169"	1	1	4	0	2	22	1	140	3	0	68	198	2	47	5	1	1	7	234	6	18	0	38	1	2	23	0	28	7	125	69	3	23	35	90	219	0	917	984	67
"K00170"	1	0	1	1	1	15	1	107	8	0	74	172	0	17	4	0	2	1	69	4	11	0	6	0	1	44	6	7	2	83	28	4	9	55	60	173	2	611	679	80
"K00171"	0	0	0	7	0	1	1	9	0	2	0	44	0	7	0	3	0	1	13	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	3	24	0	170	168	0
"K00172"	0	0	0	0	3	4	0	119	2	1	66	115	0	57	0	0	1	10	130	1	24	0	14	0	0	25	2	65	14	45	120	1	3	28	46	134	3	522	471	78
"K00174"	5150	293	22	1193	82	477	21	3955	11	20	247	170	9	74	217	56	4	23	83	5	233	6	599	59	5	30	13	415	32	101	225	768	178	36	1686	441	526	5697	7619	174
"K00175"	1983	114	8	462	40	207	5	1260	5	13	83	112	8	48	117	59	3	27	94	3	152	0	308	45	4	38	8	245	5	54	225	482	103	47	912	197	239	4127	5209	131
"K00176"	48	9	0	0	3	127	0	71	5	0	3	7	0	14	0	12	1	2	13	2	20	3	11	4	0	13	1	35	8	10	29	123	10	7	116	28	0	841	860	13
"K00177"	25	7	1	1	1	171	2	675	4	0	33	41	0	21	1	11	0	0	51	2	70	1	34	10	1	12	0	136	2	25	37	170	28	19	512	77	0	2002	2481	49
"K00179"	2	4	4	0	5	35	2	1555	1	1	48	831	1	166	3	12	5	2	556	1	507	1	30	1	1	16	3	437	4	127	9	22	29	13	1008	530	9	3999	5937	151
"K00180"	1	3	0	1	2	23	2	829	0	0	33	360	1	70	2	2	1	4	218	1	175	0	11	1	1	3	4	168	5	44	3	5	21	2	449	138	3	1502	2181	58
"K00181"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K00182"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
"K00183"	0	0	1	0	2	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	1
"K00184"	33	1	2	0	3	2	0	162	0	0	3	2	0	0	0	1	0	2	0	0	26	0	3	0	1	5	0	7	0	120	4	3	11	2	618	103	2	50	279	4
