""	"17119-05-01-243200068"	"17119-05-02-243200066"	"17119-05-03-243200095"	"17119-05-04-243200101"	"17119-05-05-243200087"	"17119-05-06-243200069"	"17119-05-07-243200099"	"17119-05-08-243200071"	"17119-05-09-243200070"	"17119-05-10-243200096"	"17119-05-11-243200091"	"17119-05-12-243200081"	"17119-05-13-243200076"	"17119-05-14-243200089"	"17119-05-15-243200093"	"17119-05-16-243200072"	"17119-05-17-243200086"	"17119-05-18-243200100"	"17119-05-19-243200062"	"17119-05-20-243200063"	"17119-05-21-243200075"	"17119-05-22-243200094"	"17119-05-23-243200073"	"17119-05-24-243200088"	"17119-05-25-243200085"	"17119-05-26-243200098"	"17119-05-27-243200083"	"17119-05-28-243200078"	"17119-05-30-243200082"	"17119-05-31-243200080"	"17119-05-32-243200092"	"17119-05-33-243200064"	"17119-05-34-243200097"	"17119-05-35-243200067"	"17119-05-36-243200079"	"17119-05-37-243200074"	"17119-05-38-243200077"	"17119-05-39-243200084"	"17119-05-40-243200090"	"17119D-05-29-243200065"
"K00568"	1	1	35	46	738	10	27	189	9	18	175	363	14	501	34	827	31	80	237	7	23	1	342	1665	188	595	1360	933	397	307	548	930	1856	46	280	439	108	63	106	266
"K00569"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"K00570"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
"K00571"	0	0	1	1	44	87	0	151	5	63	552	17	2	326	10	18	129	117	958	32	193	16	451	1	102	1669	5	406	7	144	759	2	86	2	509	594	1	535	340	120
"K00572"	0	0	0	0	0	4	0	2	0	0	0	2	0	0	0	0	0	4	1	0	3	0	2	0	0	0	0	3	0	1	2	0	0	0	8	0	0	0	0	0
"K00573"	2	5	128	67	1283	1020	32	238	55	45	274	657	27	350	55	1173	30	60	305	11	37	12	384	1833	323	839	2293	1289	523	169	894	1516	3880	94	355	576	186	151	288	432
"K00574"	304	1044	246	734	1068	1866	578	706	516	1028	1952	1054	695	2298	523	1969	762	950	3311	706	1822	660	1493	4624	1081	2606	2753	1999	1937	972	3841	3050	2261	172	1880	1328	2973	1115	1510	1025
"K00575"	5376	57	94	127	956	845	25	303	47	28	136	562	23	345	48	1103	29	55	435	4	44	6	244	2270	269	513	2395	1251	622	236	624	1927	1506	60	439	538	237	104	310	246
"K00577"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	8	0
"K00579"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	24	0
