Archaea;;;;;;
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halopiger;xanaduensis
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halorientalis;regularis
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halorussus;rarus
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halovivax;asiaticus
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halovivax;ruber
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Natrialba;aibiensis
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Natrialba;asiatica
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Natrialba;chahannaoensis
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Natrialba;hulunbeirensis
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Natrialba;magadii
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Natronococcus;aibiensis
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Natronolimnobius;baerhuensis
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Natronolimnobius;innermongolicus
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Natronorubrum;aibiense
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Natronorubrum;bangense
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Natronorubrum;thiooxidans
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Natronorubrum;tibetense
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;haloarchaeon;82M4
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;haloarchaeon;93dLM4
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;haloarchaeon;98NT4
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;haloarchaeon;Cry7_9.1
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;haloarchaeon;T1.3
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;halophilic;294-194-5
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;halophilic;MK13-1
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;halophilic;MK206-1
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;halophilic;MK62-1
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;halophilic;TMM-2-2
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanothermobacter;tenebrarum
Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanocaldococcaceae;;
Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;;
Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;Methanococcus;aeolicus
Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;Methanothermococcus;okinawensis
Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae;Methanothermococcus;thermolithotrophicus
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanocorpusculaceae;;
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanofollis;aquaemaris
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanofollis;formosanus
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanoregulaceae;Methanosphaerula;palustris
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanohalobium;evestigatum
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanohalophilus;halophilus
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanosalsum;zhilinae
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methermicoccaceae;Methermicoccus;shengliensis
Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Pyrococcus;abyssi
Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus;acidaminovorans
Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus;aggregans
Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus;alcaliphilus
Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus;atlanticus
Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus;barophilus
Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus;celericrescens
Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus;fumicolans
Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus;gammatolerans
Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus;guaymasensis
Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus;kodakarensis
Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus;litoralis
Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus;marinus
Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus;onnurineus
Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus;pacificus
Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus;radiotolerans
Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus;sibiricus
Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus;waiotapuensis
Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus;zilligii
Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;hyperthermophilic;ES1
Archaea;Euryarchaeota;Thermoplasmata;E2;Methanomassiliicoccaceae;Coxiella;burnetii
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;;;
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Picrophilaceae;Ferroplasma;cupricumulans
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Picrophilaceae;Ferroplasmaceae;WS
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Picrophilaceae;Picrophilus;torridus
Archaea;Nanoarchaeota;Nanoarchaeoti;[Nanoarchaeotales];[Nanoarchaeotaceae];Nanoarchaeum;equitans Kin4-M
Bacteria;AD3;;;;;
Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Acidicapsa;borealis
Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Acidicapsa;ligni
Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Acidobacteriaceae;WJ7
Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Acidopila;rosea
Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Bryocella;elongata
Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Granulicella;aggregans
Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Granulicella;arctica
Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Granulicella;mallensis
Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Granulicella;rosea
Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Granulicella;sapmiensis
Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Granulicella;tundricola
Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Telmatobacter;bradus
Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Terriglobus;saanensis
Bacteria;Acidobacteria;Chloracidobacteria;[Chloracidobacterales];[Chloracidobacteraceae];;
Bacteria;Acidobacteria;Holophagae;Holophagales;Holophagaceae;Holophaga;foetida
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;C111;Ilumatobacter;fluminis
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Microthrixaceae;Candidatus Microthrix;
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;koll13;mixed;culture isolate koll13
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;ACK-M1;Planktophila;limnetica
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Bogoriella;caseolytica
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinopolysporaceae;;
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinospicaceae;Actinospica;acidiphila
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinospicaceae;Actinospica;robiniae
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinosynnemataceae;Actinokineospora;cibodasensis
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinosynnemataceae;Alloactinosynnema;alba
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinosynnemataceae;Lechevalieria;flava
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinosynnemataceae;Lechevalieria;fradiae
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinosynnemataceae;Lechevalieria;xinjiangensis
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinosynnemataceae;Lentzea;albida
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinosynnemataceae;Lentzea;waywayandensis
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinosynnemataceae;Saccharothrixopsis;albidus
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinosynnemataceae;Streptomyces;hygroscopicus
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinosynnemataceae;Umezawaea;tangerina
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Beutenbergiaceae;Beutenbergia;cavernae
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Beutenbergiaceae;Serinibacter;salmoneus
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Brevibacteriaceae;;
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Cellulomonadaceae;Oerskovia;jenensis
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Cellulomonadaceae;Oerskovia;turbata
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Cellulomonadaceae;Paraoerskovia;marina
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Cellulomonadaceae;Sediminihabitans;luteus
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Dermabacteraceae;Devriesea;agamarum
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Dermabacteraceae;Helcobacillus;massiliensis
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Dermatophilaceae;;
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Dermatophilaceae;Kineosphaera;limosa
