Archaea;;;;;
Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Acidobacteriaceae
Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Acidopila
Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Bryocella
Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Granulicella
Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Granulicella
Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Granulicella
Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Granulicella
Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Granulicella
Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Granulicella
Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Telmatobacter
Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Terriglobus
Bacteria;Acidobacteria;Chloracidobacteria;[Chloracidobacterales];[Chloracidobacteraceae];
Bacteria;Acidobacteria;Holophagae;Holophagales;Holophagaceae;Holophaga
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;C111;Ilumatobacter
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Microthrixaceae;Candidatus Microthrix
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;koll13;mixed
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;ACK-M1;Planktophila
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Bogoriella
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinopolysporaceae;
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinospicaceae;Actinospica
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinospicaceae;Actinospica
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinosynnemataceae;Actinokineospora
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinosynnemataceae;Alloactinosynnema
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinosynnemataceae;Lechevalieria
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinosynnemataceae;Lechevalieria
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinosynnemataceae;Lechevalieria
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinosynnemataceae;Lentzea
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinosynnemataceae;Lentzea
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinosynnemataceae;Saccharothrixopsis
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinosynnemataceae;Streptomyces
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinosynnemataceae;Umezawaea
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Beutenbergiaceae;Beutenbergia
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Beutenbergiaceae;Serinibacter
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Brevibacteriaceae;
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Cellulomonadaceae;Oerskovia
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Cellulomonadaceae;Oerskovia
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Cellulomonadaceae;Paraoerskovia
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Cellulomonadaceae;Sediminihabitans
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Dermabacteraceae;Devriesea
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Dermabacteraceae;Helcobacillus
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Dermatophilaceae;
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Dermatophilaceae;Kineosphaera
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Dermatophilaceae;Piscicoccus
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Frankiaceae;Actinomycetales
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Frankiaceae;Kaistibacter
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Geodermatophilaceae;Actinotelluria
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Geodermatophilaceae;Blastococcus
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Glycomycetaceae;
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Glycomycetaceae;Haloglycomyces
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Gordoniaceae;
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Gordoniaceae;Millisia
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;Arsenicicoccus
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;Humihabitans
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;Janibacter
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;Kribbia
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;Marihabitans
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;Ornithinicoccus
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;Ornithinimicrobium
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;Ornithinimicrobium
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;Tetrasphaera
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;Tetrasphaera
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;Tetrasphaera
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Kineosporiaceae;Kineococcus
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Kineosporiaceae;Kineosporia
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Kineosporiaceae;Kineosporia
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Cryocola
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Frondihabitans
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Frondihabitans
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Glaciibacter
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Herbiconiux
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Herbiconiux
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Herbiconiux
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Labedella
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Leifsonia
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Leifsonia
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Leifsonia
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Leifsonia
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Limnoluna
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Nocardia
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Planktoluna
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Microbacteriaceae;Pseudoclavibacter
