Sample	Genome	Mean	Covered Fraction	Covered Bases	Length	Read Count
17119-05-16-243200072_1.fastq	bin_178	0.00009984516	0.00005332863	162	3037768	2
17119-05-16-243200072_1.fastq	bin_577	0.013651139	0.012865515	29138	2264814	225
17119-05-16-243200072_1.fastq	bin_154	0.022104835	0.019320197	41713	2159036	316
17119-05-16-243200072_1.fastq	bin_265	0.010433532	0.0046262075	10922	2360897	200
17119-05-16-243200072_1.fastq	bin_183	0.010734423	0.009484942	20708	2183250	152
17119-05-16-243200072_1.fastq	bin_85	44.222244	0.82860136	3455522	4170307	1238700
17119-05-16-243200072_1.fastq	bin_360	0.00095107465	0.0007748379	989	1276396	8
17119-05-16-243200072_1.fastq	bin_585	0.032555163	0.0071572736	14947	2088365	517
17119-05-16-243200072_1.fastq	bin_55	0.002613761	0.0013591168	2535	1865182	65
17119-05-16-243200072_1.fastq	bin_508	0.022101657	0.019757072	22868	1157459	174
17119-05-16-243200072_1.fastq	bin_457	0.010784029	0.010292195	19676	1911740	142
17119-05-16-243200072_1.fastq	bin_439	0.0073254895	0.0069189854	13915	2011133	99
17119-05-16-243200072_1.fastq	bin_25	32.19715	0.7816633	3719201	4758060	1022332
17119-05-16-243200072_1.fastq	bin_450	0.0317207	0.001940331	4827	2487720	828
17119-05-16-243200072_1.fastq	bin_506	0.003742456	0.003565926	10207	2862370	73
17119-05-16-243200072_1.fastq	bin_316	1.6565702	0.21775797	617039	2833600	32907
17119-05-16-243200072_1.fastq	bin_181	0.0016359185	0.001507822	4753	3152229	36
17119-05-16-243200072_1.fastq	bin_338	0.06217806	0.023041649	61000	2647380	1196
17119-05-16-243200072_1.fastq	bin_42	0.11955585	0.0031135883	7510	2412008	5558
17119-05-16-243200072_1.fastq	bin_63	0.0006193127	0.0005469931	985	1800754	8
17119-05-16-243200072_1.fastq	bin_279	0.16381115	0.011139745	25154	2258041	2652
17119-05-16-243200072_1.fastq	bin_113	0.029942093	0.016137516	26383	1634886	711
17119-05-16-243200072_1.fastq	bin_129	0.0046192827	0.004267239	7591	1778902	100
17119-05-16-243200072_1.fastq	bin_119	1.6583627	0.012344559	33479	2712045	32333
17119-05-16-243200072_1.fastq	bin_54	8.173671	0.2794122	726016	2598369	152066
17119-05-16-243200072_1.fastq	bin_67	6.1404643	0.5166574	1532285	2965766	120725
17119-05-16-243200072_1.fastq	bin_281	0.0012501563	0.00077778404	3378	4343108	37
17119-05-16-243200072_1.fastq	bin_101	0.007835464	0.006995232	12158	1738041	90
17119-05-16-243200072_1.fastq	bin_260	1.1118238	0.33765027	821572	2433204	17992
17119-05-16-243200072_1.fastq	bin_499	0.0032330335	0.002857377	4532	1586070	34
17119-05-16-243200072_1.fastq	bin_386	0.07622139	0.024658404	51142	2074019	1049
17119-05-16-243200072_1.fastq	bin_475	0.003697955	0.0035074733	6946	1980343	53
17119-05-16-243200072_1.fastq	bin_128	0.002151505	0.00157184	4390	2792905	43
17119-05-16-243200072_1.fastq	bin_185	0.050492685	0.04368094	116652	2670547	927
17119-05-16-243200072_1.fastq	bin_580	0.0018069011	0.0017730823	4235	2388496	30
17119-05-16-243200072_1.fastq	bin_86	0.20866595	0.019486558	35252	1809042	2533
17119-05-16-243200072_1.fastq	bin_326	0.03291216	0.002059622	4979	2417434	807
17119-05-16-243200072_1.fastq	bin_224	0.039692253	0.008462711	17190	2031264	806
17119-05-16-243200072_1.fastq	bin_362	0.0064769946	0.0063173207	12195	1930407	85
17119-05-16-243200072_1.fastq	bin_222	0.0003737819	0.0003234106	404	1249186	4
17119-05-16-243200072_1.fastq	bin_574	0.39403996	0.21512917	608583	2828919	7807
17119-05-16-243200072_1.fastq	bin_584	0.17731498	0.13070571	371777	2844382	3495
17119-05-16-243200072_1.fastq	bin_169	0.0011696516	0.0010480523	1386	1322453	10
17119-05-16-243200072_1.fastq	bin_139	0.18991232	0.019982314	45308	2267405	3098
17119-05-16-243200072_1.fastq	bin_99	0.48345497	0.026219353	52652	2008135	6738
17119-05-16-243200072_1.fastq	bin_264	0.0058756885	0.0052658445	26894	5107253	213
17119-05-16-243200072_1.fastq	bin_81	0.24711289	0.028158484	67979	2414157	4373
17119-05-16-243200072_1.fastq	bin_425	0.009813709	0.009401992	14449	1536802	101
17119-05-16-243200072_1.fastq	bin_501	0.012503845	0.0115781445	18846	1627722	137
17119-05-16-243200072_1.fastq	bin_531	3.7080703	0.26466128	640849	2421393	60910
17119-05-16-243200072_1.fastq	bin_20	0.027710266	0.024877377	51323	2063039	393
17119-05-16-243200072_1.fastq	bin_396	0.11405603	0.016141953	74722	4629056	6221
17119-05-16-243200072_1.fastq	bin_93	0.010448958	0.0094442945	22989	2434168	171
17119-05-16-243200072_1.fastq	bin_373	0.0035493488	0.0034424826	6063	1761229	41
17119-05-16-243200072_1.fastq	bin_393	0.008247615	0.007948144	24308	3058324	169
17119-05-16-243200072_1.fastq	bin_353	0.016472116	0.015887577	14583	917887	101
17119-05-16-243200072_1.fastq	bin_82	0.0005266767	0.00022768135	939	4124185	19
17119-05-16-243200072_1.fastq	bin_46	0.036058016	0.02214759	55441	2503252	626
17119-05-16-243200072_1.fastq	bin_41	0.0045887623	0.004192864	8910	2125039	65
17119-05-16-243200072_1.fastq	bin_162	0.00010009757	0.00012356017	215	1740043	7
17119-05-16-243200072_1.fastq	bin_77	0.0020627608	0.0018268122	2156	1180198	16
17119-05-16-243200072_1.fastq	bin_400	0.004057033	0.0022902614	3741	1633438	95
17119-05-16-243200072_1.fastq	bin_485	0.0015829448	0.0014199066	4060	2859343	56
17119-05-16-243200072_1.fastq	bin_166	0.05545086	0.047631733	98709	2072337	763
17119-05-16-243200072_1.fastq	bin_358	0.0062830336	0.0060430695	11493	1901848	83
17119-05-16-243200072_1.fastq	bin_51	0.10467407	0.011995889	34831	2903578	2078
17119-05-16-243200072_1.fastq	bin_56	0.10121392	0.012527605	35392	2825121	2192
17119-05-16-243200072_1.fastq	bin_277	48.1838	0.8260129	3958871	4792747	1573529
17119-05-16-243200072_1.fastq	bin_476	0.0059944834	0.0059047737	8601	1456618	58
17119-05-16-243200072_1.fastq	bin_555	28.569143	0.81076735	3305663	4077203	774781
17119-05-16-243200072_1.fastq	bin_344	0.04292074	0.023194501	61812	2664942	833
17119-05-16-243200072_1.fastq	bin_364	0.0025270632	0.002394952	4957	2069770	34
17119-05-16-243200072_1.fastq	bin_40	0.00036730705	0.00030014425	443	1475957	5
17119-05-16-243200072_1.fastq	bin_161	0.011872071	0.011164233	16764	1501581	120
17119-05-16-243200072_1.fastq	bin_528	0.20785592	0.025109628	59689	2377136	3573
17119-05-16-243200072_1.fastq	bin_21	0.005095401	0.0047362586	20937	4420578	151
17119-05-16-243200072_1.fastq	bin_430	0.412012	0.22274023	631892	2836901	8150
17119-05-16-243200072_1.fastq	bin_453	0.0061036153	0.006021746	11312	1878525	80
17119-05-16-243200072_1.fastq	bin_147	0.004661518	0.003871853	7405	1912521	65
17119-05-16-243200072_1.fastq	bin_517	0.39557895	0.21659504	614609	2837595	7809
17119-05-16-243200072_1.fastq	bin_251	0.00074859924	0.00067154906	3144	4681713	24
17119-05-16-243200072_1.fastq	bin_198	0.76562685	0.042168096	95827	2272500	11708
17119-05-16-243200072_1.fastq	bin_405	0.0022140965	0.002162281	3502	1619586	25
17119-05-16-243200072_1.fastq	bin_455	0.0020460978	0.0018880581	5798	3070880	55
17119-05-16-243200072_1.fastq	bin_382	0.13541393	0.1212595	300758	2480284	2224
17119-05-16-243200072_1.fastq	bin_76	0.0018618876	0.0015404667	2040	1324274	16
17119-05-16-243200072_1.fastq	bin_88	0.0648973	0.00005540082	153	2761692	3894
17119-05-16-243200072_1.fastq	bin_186	0.04030065	0.035133947	81896	2330965	631
