Sample	Genome	Mean	Covered Fraction	Covered Bases	Length	Read Count
17119-05-34-243200097_1.fastq	bin_178	0.00884177	0.0070890863	21535	3037768	184
17119-05-34-243200097_1.fastq	bin_577	0.2012749	0.167461	379268	2264814	3166
17119-05-34-243200097_1.fastq	bin_154	0.11509015	0.06687475	144385	2159036	1648
17119-05-34-243200097_1.fastq	bin_265	0.0023693917	0.0022233075	5249	2360897	42
17119-05-34-243200097_1.fastq	bin_183	0.017698	0.013669529	29844	2183250	255
17119-05-34-243200097_1.fastq	bin_85	45.190006	0.63295317	2639609	4170307	1267128
17119-05-34-243200097_1.fastq	bin_360	0.0043914416	0.0041405647	5285	1276396	40
17119-05-34-243200097_1.fastq	bin_585	0.020088395	0.017512264	36572	2088365	286
17119-05-34-243200097_1.fastq	bin_55	0.0034610701	0.002191743	4088	1865182	70
17119-05-34-243200097_1.fastq	bin_508	0.066728465	0.04334149	50166	1157459	526
17119-05-34-243200097_1.fastq	bin_457	0.29410776	0.2388918	456699	1911740	3727
17119-05-34-243200097_1.fastq	bin_439	0.6152228	0.38051286	765262	2011133	8281
17119-05-34-243200097_1.fastq	bin_25	32.986633	0.60113156	2860220	4758060	1046177
17119-05-34-243200097_1.fastq	bin_450	0.30574065	0.22107069	549962	2487720	5447
17119-05-34-243200097_1.fastq	bin_506	0.2516836	0.20256746	579823	2862370	4789
17119-05-34-243200097_1.fastq	bin_316	17.143772	0.99915093	2831194	2833600	324999
17119-05-34-243200097_1.fastq	bin_181	0.017463965	0.015444627	48685	3152229	379
17119-05-34-243200097_1.fastq	bin_338	0.6025444	0.37032688	980396	2647380	10780
17119-05-34-243200097_1.fastq	bin_42	0.14322118	0.013467617	32484	2412008	6054
17119-05-34-243200097_1.fastq	bin_63	0.0081997225	0.006808259	12260	1800754	108
17119-05-34-243200097_1.fastq	bin_279	1.5215873	0.03803961	85895	2258041	24525
17119-05-34-243200097_1.fastq	bin_113	0.19812359	0.14414583	235662	1634886	2252
17119-05-34-243200097_1.fastq	bin_129	0.022551775	0.020227084	35982	1778902	287
17119-05-34-243200097_1.fastq	bin_119	0.3825334	0.18075658	490220	2712045	7104
17119-05-34-243200097_1.fastq	bin_54	0.07329773	0.04000779	103955	2598369	1663
17119-05-34-243200097_1.fastq	bin_67	0.008630196	0.0076358016	22646	2965766	171
17119-05-34-243200097_1.fastq	bin_281	0.013273997	0.0068121725	29586	4343108	405
17119-05-34-243200097_1.fastq	bin_101	0.0616844	0.05485889	95347	1738041	724
17119-05-34-243200097_1.fastq	bin_260	0.5793415	0.37696797	917240	2433204	9366
17119-05-34-243200097_1.fastq	bin_499	0.70034575	0.39918163	633130	1586070	7324
17119-05-34-243200097_1.fastq	bin_386	0.0016380865	0.0014334487	2973	2074019	24
17119-05-34-243200097_1.fastq	bin_475	0.8452439	0.47861153	947815	1980343	11181
17119-05-34-243200097_1.fastq	bin_128	0.021646924	0.017667985	49345	2792905	431
17119-05-34-243200097_1.fastq	bin_185	0.28271633	0.21535812	575124	2670547	5042
17119-05-34-243200097_1.fastq	bin_580	0.2764441	0.2287184	546293	2388496	4419
17119-05-34-243200097_1.fastq	bin_86	0.025098374	0.021582695	39044	1809042	306
17119-05-34-243200097_1.fastq	bin_326	0.31373927	0.22752266	550021	2417434	5438
17119-05-34-243200097_1.fastq	bin_224	0.08112733	0.04896557	99462	2031264	1245
17119-05-34-243200097_1.fastq	bin_362	1.0170381	0.5136223	991500	1930407	13127
17119-05-34-243200097_1.fastq	bin_222	0.009771371	0.008347836	10428	1249186	99
17119-05-34-243200097_1.fastq	bin_574	16.103832	0.999328	2827018	2828919	303725
17119-05-34-243200097_1.fastq	bin_584	0.010735129	0.007963768	22652	2844382	204
17119-05-34-243200097_1.fastq	bin_169	0.112862825	0.08410583	111226	1322453	993
17119-05-34-243200097_1.fastq	bin_139	0.4109114	0.31730413	719457	2267405	6204
17119-05-34-243200097_1.fastq	bin_99	0.053147778	0.043499067	87352	2008135	724
17119-05-34-243200097_1.fastq	bin_264	0.000860111	0.0007567669	3865	5107253	36
17119-05-34-243200097_1.fastq	bin_81	3.3894699	0.34523645	833455	2414157	55721
17119-05-34-243200097_1.fastq	bin_425	3.2603722	0.7730573	1188036	1536802	33130
17119-05-34-243200097_1.fastq	bin_501	3.3712518	0.7702575	1253765	1627722	36566
17119-05-34-243200097_1.fastq	bin_531	0.02657202	0.02530816	61281	2421393	436
17119-05-34-243200097_1.fastq	bin_20	0.0014911178	0.0014032696	2895	2063039	24
17119-05-34-243200097_1.fastq	bin_396	0.37487411	0.24325672	1126049	4629056	15091
17119-05-34-243200097_1.fastq	bin_93	0.114792325	0.09683309	235708	2434168	1906
17119-05-34-243200097_1.fastq	bin_373	0.73752075	0.41682371	734122	1761229	8585
17119-05-34-243200097_1.fastq	bin_393	0.028555907	0.027386243	83756	3058324	591
17119-05-34-243200097_1.fastq	bin_353	0.02831653	0.025972696	23840	917887	176
17119-05-34-243200097_1.fastq	bin_82	0.010338893	0.010020889	41328	4124185	290
17119-05-34-243200097_1.fastq	bin_46	0.64497024	0.38102916	953812	2503252	10816
17119-05-34-243200097_1.fastq	bin_41	0.03138744	0.02672798	56798	2125039	451
17119-05-34-243200097_1.fastq	bin_162	0.12363462	0.052105036	90665	1740043	1525
17119-05-34-243200097_1.fastq	bin_77	0.023190197	0.020028843	23638	1180198	190
17119-05-34-243200097_1.fastq	bin_400	0.019197447	0.018128023	29611	1633438	204
17119-05-34-243200097_1.fastq	bin_485	0.017984511	0.011994364	34296	2859343	574
17119-05-34-243200097_1.fastq	bin_166	0.0043933312	0.004032163	8356	2072337	60
17119-05-34-243200097_1.fastq	bin_358	0.9847643	0.5151426	979723	1901848	12624
17119-05-34-243200097_1.fastq	bin_51	0.15184498	0.035325035	102569	2903578	3068
17119-05-34-243200097_1.fastq	bin_56	0.04773904	0.03266161	92273	2825121	1087
17119-05-34-243200097_1.fastq	bin_277	29.532621	0.5941912	2847808	4792747	967513
17119-05-34-243200097_1.fastq	bin_476	6.014363	0.98507637	1434880	1456618	58394
17119-05-34-243200097_1.fastq	bin_555	29.89729	0.6169521	2515439	4077203	810768
17119-05-34-243200097_1.fastq	bin_344	0.6402581	0.37564832	1001081	2664942	11662
17119-05-34-243200097_1.fastq	bin_364	0.003605097	0.0033003667	6831	2069770	49
17119-05-34-243200097_1.fastq	bin_40	0.009888929	0.008150644	12030	1475957	109
17119-05-34-243200097_1.fastq	bin_161	3.317889	0.783361	1176280	1501581	33421
17119-05-34-243200097_1.fastq	bin_528	0.43646556	0.32926682	782712	2377136	6915
17119-05-34-243200097_1.fastq	bin_21	0.06250184	0.050892215	224973	4420578	1852
17119-05-34-243200097_1.fastq	bin_430	16.175085	0.9989703	2833980	2836901	305777
17119-05-34-243200097_1.fastq	bin_453	0.550524	0.36391744	683628	1878525	6883
17119-05-34-243200097_1.fastq	bin_147	0.028617825	0.021846557	41782	1912521	383
17119-05-34-243200097_1.fastq	bin_517	16.160086	0.9994171	2835941	2837595	305653
17119-05-34-243200097_1.fastq	bin_251	0.026600411	0.021531222	100803	4681713	860
17119-05-34-243200097_1.fastq	bin_198	0.25202268	0.039666448	90142	2272500	3856
17119-05-34-243200097_1.fastq	bin_405	0.011808515	0.011157172	18070	1619586	129
17119-05-34-243200097_1.fastq	bin_455	4.997015	0.95762616	2940755	3070880	100953
17119-05-34-243200097_1.fastq	bin_382	0.08299604	0.07600702	188519	2480284	1365
17119-05-34-243200097_1.fastq	bin_76	0.012880055	0.010481969	13881	1324274	120
17119-05-34-243200097_1.fastq	bin_88	0.108411506	0.006688291	18471	2761692	6149
