Sample	Genome	Mean	Covered Fraction	Covered Bases	Length	Read Count
17119-05-07-243200099_1.fastq	bin_178	0.0031967035	0.0028376097	8620	3037768	66
17119-05-07-243200099_1.fastq	bin_577	0.0041994266	0.0041354387	9366	2264814	65
17119-05-07-243200099_1.fastq	bin_154	0.019389689	0.016017335	34582	2159036	276
17119-05-07-243200099_1.fastq	bin_265	0.06450329	0.05255079	124067	2360897	1026
17119-05-07-243200099_1.fastq	bin_183	0.026518688	0.023358755	50998	2183250	376
17119-05-07-243200099_1.fastq	bin_85	2.0077121	0.45069632	1879542	4170307	74198
17119-05-07-243200099_1.fastq	bin_360	0.0016231351	0.0014164883	1808	1276396	15
17119-05-07-243200099_1.fastq	bin_585	0.00045905882	0.00038786323	810	2088365	9
17119-05-07-243200099_1.fastq	bin_55	0.000630176	0.00047180383	880	1865182	16
17119-05-07-243200099_1.fastq	bin_508	0.012759585	0.0122	14121	1157459	98
17119-05-07-243200099_1.fastq	bin_457	0.003015009	0.0029219454	5586	1911740	38
17119-05-07-243200099_1.fastq	bin_439	0.005758631	0.00575049	11565	2011133	79
17119-05-07-243200099_1.fastq	bin_25	0.7506373	0.4190027	1993640	4758060	23970
17119-05-07-243200099_1.fastq	bin_450	0.0020583689	0.00173452	4315	2487720	37
17119-05-07-243200099_1.fastq	bin_506	0.0012823038	0.001215077	3478	2862370	25
17119-05-07-243200099_1.fastq	bin_316	67.13205	0.9996443	2832592	2833600	1270301
17119-05-07-243200099_1.fastq	bin_181	0.0010079482	0.0009764519	3078	3152229	21
17119-05-07-243200099_1.fastq	bin_338	0.05109714	0.0491875	130218	2647380	909
17119-05-07-243200099_1.fastq	bin_42	0.15277866	0.00041873826	1010	2412008	8166
17119-05-07-243200099_1.fastq	bin_63	0	0	0	1800754	0
17119-05-07-243200099_1.fastq	bin_279	0.21174313	0.0104475515	23591	2258041	3550
17119-05-07-243200099_1.fastq	bin_113	0.0013835699	0.00056640035	926	1634886	275
17119-05-07-243200099_1.fastq	bin_129	0.04150871	0.03800659	67610	1778902	503
17119-05-07-243200099_1.fastq	bin_119	0.03629974	0.016123258	43727	2712045	649
17119-05-07-243200099_1.fastq	bin_54	0.87231266	0.13400137	348185	2598369	20981
17119-05-07-243200099_1.fastq	bin_67	0.00021682701	0.00025794347	765	2965766	13
17119-05-07-243200099_1.fastq	bin_281	0.0009810623	0.00089060643	3868	4343108	30
17119-05-07-243200099_1.fastq	bin_101	0	0	0	1738041	0
17119-05-07-243200099_1.fastq	bin_260	0.009117662	0.008823345	21469	2433204	148
17119-05-07-243200099_1.fastq	bin_499	0.004588279	0.004538892	7199	1586070	48
17119-05-07-243200099_1.fastq	bin_386	0.00043225926	0.00041899327	869	2074019	9
17119-05-07-243200099_1.fastq	bin_475	0.007547909	0.007429521	14713	1980343	99
17119-05-07-243200099_1.fastq	bin_128	0.002442574	0.0020684556	5777	2792905	46
17119-05-07-243200099_1.fastq	bin_185	0.004399885	0.0041777957	11157	2670547	80
17119-05-07-243200099_1.fastq	bin_580	0.0018886707	0.0018857055	4504	2388496	31
17119-05-07-243200099_1.fastq	bin_86	0.0022792062	0.0019999535	3618	1809042	29
17119-05-07-243200099_1.fastq	bin_326	0.0022369742	0.0017994286	4350	2417434	42
17119-05-07-243200099_1.fastq	bin_224	0.0016521604	0.000813779	1653	2031264	25
17119-05-07-243200099_1.fastq	bin_362	0.0070469785	0.0067208624	12974	1930407	91
17119-05-07-243200099_1.fastq	bin_222	0.00068208977	0.00060039095	750	1249186	6
17119-05-07-243200099_1.fastq	bin_574	64.44577	0.9997561	2828229	2828919	1215428
17119-05-07-243200099_1.fastq	bin_584	0.015960451	0.0041748965	11875	2844382	306
17119-05-07-243200099_1.fastq	bin_169	0.00004821702	0.000046882575	62	1322453	1
17119-05-07-243200099_1.fastq	bin_139	0.016111778	0.015627997	35435	2267405	249
17119-05-07-243200099_1.fastq	bin_99	0.0026386096	0.0018669064	3749	2008135	38
17119-05-07-243200099_1.fastq	bin_264	0.16236359	0.13722426	700839	5107253	5835
17119-05-07-243200099_1.fastq	bin_81	0.033542756	0.025919607	62574	2414157	548
17119-05-07-243200099_1.fastq	bin_425	0.004166689	0.0040746955	6262	1536802	42
17119-05-07-243200099_1.fastq	bin_501	0.004025887	0.0039324895	6401	1627722	44
17119-05-07-243200099_1.fastq	bin_531	0.11720711	0.109166086	264334	2421393	1912
17119-05-07-243200099_1.fastq	bin_20	0.0005160052	0.00044594405	920	2063039	7
17119-05-07-243200099_1.fastq	bin_396	0.0037934643	0.0023523155	10889	4629056	172
17119-05-07-243200099_1.fastq	bin_93	0.007222839	0.0067858915	16518	2434168	121
17119-05-07-243200099_1.fastq	bin_373	0.0054251347	0.0051827445	9128	1761229	63
17119-05-07-243200099_1.fastq	bin_393	0.012372404	0.011841453	36215	3058324	280
17119-05-07-243200099_1.fastq	bin_353	0.006931118	0.0067916857	6234	917887	42
17119-05-07-243200099_1.fastq	bin_82	0.0010365446	0.0009914687	4089	4124185	29
17119-05-07-243200099_1.fastq	bin_46	0.052060407	0.048115812	120446	2503252	880
17119-05-07-243200099_1.fastq	bin_41	0.0004787526	0.00048328526	1027	2125039	10
17119-05-07-243200099_1.fastq	bin_162	0.00017782039	0.00015286979	266	1740043	2
17119-05-07-243200099_1.fastq	bin_77	0	0	0	1180198	0
17119-05-07-243200099_1.fastq	bin_400	0.0016533324	0.0016052033	2622	1633438	19
17119-05-07-243200099_1.fastq	bin_485	0.00031248954	0.00029272458	837	2859343	12
17119-05-07-243200099_1.fastq	bin_166	0.33180708	0.2501842	518466	2072337	4552
17119-05-07-243200099_1.fastq	bin_358	0.00576253	0.0057643936	10963	1901848	80
17119-05-07-243200099_1.fastq	bin_51	0.65240383	0.0015160606	4402	2903578	13468
17119-05-07-243200099_1.fastq	bin_56	0.0011117534	0.00109836	3103	2825121	625
17119-05-07-243200099_1.fastq	bin_277	1.1115172	0.47957173	2298466	4792747	42717
17119-05-07-243200099_1.fastq	bin_476	0.006343048	0.0062844204	9154	1456618	62
17119-05-07-243200099_1.fastq	bin_555	0.6608092	0.41527072	1693143	4077203	18005
