Sample	Genome	Mean	Covered Fraction	Covered Bases	Length	Read Count
17119-05-39-243200084_1.fastq	bin_178	13.494326	0.99957204	3036468	3037768	273860
17119-05-39-243200084_1.fastq	bin_577	0.12654549	0.09410795	213137	2264814	1970
17119-05-39-243200084_1.fastq	bin_154	0.295736	0.18793665	405762	2159036	4362
17119-05-39-243200084_1.fastq	bin_265	0.002392906	0.0011775185	2780	2360897	88
17119-05-39-243200084_1.fastq	bin_183	1.670054	0.5667702	1237401	2183250	23936
17119-05-39-243200084_1.fastq	bin_85	4.6040597	0.7529882	3140192	4170307	148888
17119-05-39-243200084_1.fastq	bin_360	0.1265091	0.09604308	122589	1276396	1139
17119-05-39-243200084_1.fastq	bin_585	0.12782383	0.02801426	58504	2088365	2207
17119-05-39-243200084_1.fastq	bin_55	0.021026544	0.010868108	20271	1865182	549
17119-05-39-243200084_1.fastq	bin_508	10.481444	0.90688914	1049687	1157459	80524
17119-05-39-243200084_1.fastq	bin_457	0.07378774	0.064891666	124056	1911740	959
17119-05-39-243200084_1.fastq	bin_439	3.7478755	0.8863621	1782592	2011133	50316
17119-05-39-243200084_1.fastq	bin_25	2.8334544	0.75698227	3601767	4758060	90076
17119-05-39-243200084_1.fastq	bin_450	0.036593623	0.030344652	75489	2487720	669
17119-05-39-243200084_1.fastq	bin_506	0.019197276	0.018017586	51573	2862370	400
17119-05-39-243200084_1.fastq	bin_316	1.3683807	0.0387013	109664	2833600	29736
17119-05-39-243200084_1.fastq	bin_181	8.745775	0.9941197	3133693	3152229	184724
17119-05-39-243200084_1.fastq	bin_338	2.2350645	0.85361075	2259832	2647380	39440
17119-05-39-243200084_1.fastq	bin_42	1.1061678	0.35601583	858713	2412008	24277
17119-05-39-243200084_1.fastq	bin_63	0.057417	0.035766684	64407	1800754	1008
17119-05-39-243200084_1.fastq	bin_279	0.3768184	0.059860297	135167	2258041	7232
17119-05-39-243200084_1.fastq	bin_113	2.7419076	0.77868366	1273059	1634886	30602
17119-05-39-243200084_1.fastq	bin_129	0.0056025647	0.005180162	9215	1778902	137
17119-05-39-243200084_1.fastq	bin_119	0.05427484	0.043068238	116803	2712045	1027
17119-05-39-243200084_1.fastq	bin_54	0.011994884	0.008463001	21990	2598369	239
17119-05-39-243200084_1.fastq	bin_67	0.0029666189	0.002580109	7652	2965766	71
17119-05-39-243200084_1.fastq	bin_281	3.2138119	0.91966903	3994222	4343108	94230
17119-05-39-243200084_1.fastq	bin_101	0.06045064	0.035079148	60969	1738041	763
17119-05-39-243200084_1.fastq	bin_260	0.032017894	0.025983436	63223	2433204	634
17119-05-39-243200084_1.fastq	bin_499	2.778853	0.8402649	1332719	1586070	28986
17119-05-39-243200084_1.fastq	bin_386	0.14309347	0.038628865	80117	2074019	2063
17119-05-39-243200084_1.fastq	bin_475	3.2712524	0.92874163	1839227	1980343	43214
17119-05-39-243200084_1.fastq	bin_128	11.49654	0.9965033	2783139	2792905	219040
17119-05-39-243200084_1.fastq	bin_185	0.03807568	0.035861567	95770	2670547	690
17119-05-39-243200084_1.fastq	bin_580	0.03188306	0.029620731	70749	2388496	544
17119-05-39-243200084_1.fastq	bin_86	0.05114209	0.032315448	58460	1809042	682
17119-05-39-243200084_1.fastq	bin_326	0.03354218	0.03149083	76127	2417434	595
17119-05-39-243200084_1.fastq	bin_224	1.5340173	0.20886207	424254	2031264	23785
17119-05-39-243200084_1.fastq	bin_362	2.6281466	0.73395973	1416841	1930407	33815
17119-05-39-243200084_1.fastq	bin_222	1.6213855	0.24775974	309498	1249186	18607
17119-05-39-243200084_1.fastq	bin_574	0.038861416	0.035938464	101667	2828919	781
17119-05-39-243200084_1.fastq	bin_584	0.002519011	0.0023203634	6600	2844382	57
17119-05-39-243200084_1.fastq	bin_169	0.024349594	0.019533398	25832	1322453	248
17119-05-39-243200084_1.fastq	bin_139	0.037514515	0.027002675	61226	2267405	631
17119-05-39-243200084_1.fastq	bin_99	0.111456595	0.05405264	108545	2008135	1601
17119-05-39-243200084_1.fastq	bin_264	0.005018526	0.0004945907	2526	5107253	299
17119-05-39-243200084_1.fastq	bin_81	0.0821631	0.045313127	109393	2414157	1411
17119-05-39-243200084_1.fastq	bin_425	2.8431883	0.89287037	1372165	1536802	28905
17119-05-39-243200084_1.fastq	bin_501	3.1169508	0.9113282	1483389	1627722	33875
17119-05-39-243200084_1.fastq	bin_531	0.0028620036	0.002859924	6925	2421393	48
17119-05-39-243200084_1.fastq	bin_20	0.03654514	0.03159562	65183	2063039	569
17119-05-39-243200084_1.fastq	bin_396	0.12708516	0.108857185	503906	4629056	4160
17119-05-39-243200084_1.fastq	bin_93	31.04085	0.99071306	2411562	2434168	516149
17119-05-39-243200084_1.fastq	bin_373	3.4339101	0.90483916	1593629	1761229	39728
17119-05-39-243200084_1.fastq	bin_393	12.337873	0.9996099	3057131	3058324	252099
17119-05-39-243200084_1.fastq	bin_353	8.750088	0.8777464	805672	917887	53180
17119-05-39-243200084_1.fastq	bin_82	0.41407704	0.22871597	943267	4124185	12496
17119-05-39-243200084_1.fastq	bin_46	2.2895246	0.8542947	2138515	2503252	38255
17119-05-39-243200084_1.fastq	bin_41	2.2554135	0.7907761	1680430	2125039	33194
17119-05-39-243200084_1.fastq	bin_162	0.14059174	0.080577895	140209	1740043	1972
17119-05-39-243200084_1.fastq	bin_77	3.5926726	0.93098193	1098743	1180198	28828
17119-05-39-243200084_1.fastq	bin_400	0.077564746	0.07020652	114678	1633438	833
17119-05-39-243200084_1.fastq	bin_485	1.628319	0.6780306	1938722	2859343	33738
17119-05-39-243200084_1.fastq	bin_166	0.0011626391	0.0005983583	1240	2072337	35
17119-05-39-243200084_1.fastq	bin_358	2.6944501	0.739384	1406196	1901848	34498
17119-05-39-243200084_1.fastq	bin_51	2.8863113	0.23720595	688746	2903578	57459
17119-05-39-243200084_1.fastq	bin_56	1.2562065	0.25136694	710142	2825121	26144
17119-05-39-243200084_1.fastq	bin_277	3.497	0.73443145	3519944	4792747	128263
17119-05-39-243200084_1.fastq	bin_476	2.028131	0.7976889	1161928	1456618	19667
17119-05-39-243200084_1.fastq	bin_555	2.5262957	0.76321465	3111781	4077203	68605
17119-05-39-243200084_1.fastq	bin_344	2.3542264	0.8490519	2262674	2664942	41944
17119-05-39-243200084_1.fastq	bin_364	1.9730896	0.7710127	1595819	2069770	26675
17119-05-39-243200084_1.fastq	bin_40	9.385751	0.9993828	1475046	1475957	94999
17119-05-39-243200084_1.fastq	bin_161	2.829919	0.89793557	1348323	1501581	28615
17119-05-39-243200084_1.fastq	bin_528	0.092193216	0.03693184	87792	2377136	1547
17119-05-39-243200084_1.fastq	bin_21	5.219163	0.9157712	4048238	4420578	154458
17119-05-39-243200084_1.fastq	bin_430	0.042041298	0.039183956	111161	2836901	840
17119-05-39-243200084_1.fastq	bin_453	3.2272918	0.8678889	1630351	1878525	40205
17119-05-39-243200084_1.fastq	bin_147	5.6879992	0.94516873	1807655	1912521	77493
17119-05-39-243200084_1.fastq	bin_517	0.04136871	0.03858338	109484	2837595	819
17119-05-39-243200084_1.fastq	bin_251	0.31579956	0.14613241	684150	4681713	10733
17119-05-39-243200084_1.fastq	bin_198	0.107767336	0.049219362	111851	2272500	1809
17119-05-39-243200084_1.fastq	bin_405	0.01346598	0.011193601	18129	1619586	153
17119-05-39-243200084_1.fastq	bin_455	0.11563588	0.09073458	278635	3070880	2516
17119-05-39-243200084_1.fastq	bin_382	0.011028246	0.010578628	26238	2480284	194
17119-05-39-243200084_1.fastq	bin_76	4.0463104	0.9285639	1229673	1324274	36249
17119-05-39-243200084_1.fastq	bin_88	14.338633	0.9993982	2760030	2761692	266772
17119-05-39-243200084_1.fastq	bin_186	0.27642235	0.1814373	422924	2330965	4448
17119-05-39-243200084_1.fastq	bin_399	0.04027596	0.038929775	110466	2837571	779
17119-05-39-243200084_1.fastq	bin_292	31.616795	0.9988678	1731865	1733828	369093
17119-05-39-243200084_1.fastq	bin_38	0.005727585	0.004247511	10926	2572330	133
17119-05-39-243200084_1.fastq	bin_275	0.03607508	0.028012615	54974	1962473	524
17119-05-39-243200084_1.fastq	bin_346	0.014151037	0.013147668	24392	1855234	183
17119-05-39-243200084_1.fastq	bin_477	10.012294	0.8962136	844779	942609	62593
17119-05-39-243200084_1.fastq	bin_304	0.03138686	0.02442666	65309	2673677	659
17119-05-39-243200084_1.fastq	bin_295	28.219778	0.9908324	1770884	1787269	336790
17119-05-39-243200084_1.fastq	bin_351	2.263482	0.84557986	2096480	2479340	37253
17119-05-39-243200084_1.fastq	bin_409	1.8239295	0.7816267	2794306	3574988	43630
17119-05-39-243200084_1.fastq	bin_404	5.201699	0.9269681	3729873	4023734	139159
17119-05-39-243200084_1.fastq	bin_403	3.9116085	0.8826819	1816953	2058446	53989
17119-05-39-243200084_1.fastq	bin_142	0.055716764	0.03519571	69489	1974360	895
17119-05-39-243200084_1.fastq	bin_534	10.513137	0.9792051	1778021	1815780	128937
17119-05-39-243200084_1.fastq	bin_219	0.3080174	0.04311087	173357	4021190	10350
17119-05-39-243200084_1.fastq	bin_573	0.84348434	0.4477594	612405	1367710	7600
17119-05-39-243200084_1.fastq	bin_434	0.021924661	0.019813165	26906	1357986	238
17119-05-39-243200084_1.fastq	bin_268	0.038907684	0.03710398	103053	2777411	735
17119-05-39-243200084_1.fastq	bin_436	2.4895976	0.7285362	1279378	1756094	29081
17119-05-39-243200084_1.fastq	bin_352	0.037560686	0.026121946	35296	1351201	435
17119-05-39-243200084_1.fastq	bin_332	0.02874972	0.022361478	45979	2056170	448
17119-05-39-243200084_1.fastq	bin_414	5.6817713	0.8778848	2428591	2766412	105447
17119-05-39-243200084_1.fastq	bin_328	0.004758058	0.0044651204	7571	1695587	66
17119-05-39-243200084_1.fastq	bin_165	3.5465322	0.92269665	1153643	1250295	29262
17119-05-39-243200084_1.fastq	bin_141	2.4107742	0.118866466	359553	3024848	50072
17119-05-39-243200084_1.fastq	bin_582	0.017614976	0.01624526	40538	2495374	333
17119-05-39-243200084_1.fastq	bin_284	0.24836726	0.14245436	841181	5904916	10918
17119-05-39-243200084_1.fastq	bin_287	1.617941	0.73821074	1257023	1702797	18182
17119-05-39-243200084_1.fastq	bin_195	6.5191627	0.98577535	2242152	2274506	100713
17119-05-39-243200084_1.fastq	bin_467	1.3974988	0.6388842	1571351	2459524	23420
17119-05-39-243200084_1.fastq	bin_110	4.9568596	0.82571995	3930261	4759799	159570
17119-05-39-243200084_1.fastq	bin_64	1.6854413	0.66105175	1877576	2840286	32498
17119-05-39-243200084_1.fastq	bin_144	0.07814068	0.037116263	75756	2041046	1409
17119-05-39-243200084_1.fastq	bin_363	2.7949321	0.9079106	1476012	1625724	30200
17119-05-39-243200084_1.fastq	bin_257	8.470774	0.9994943	4057903	4059956	229358
17119-05-39-243200084_1.fastq	bin_176	7.1405244	0.996859	4289889	4303406	203763
17119-05-39-243200084_1.fastq	bin_34	0.04472583	0.039022025	137744	3529904	1072
17119-05-39-243200084_1.fastq	bin_29	0.049820215	0.033067744	61108	1847964	722
17119-05-39-243200084_1.fastq	bin_556	0.108374715	0.082758814	158322	1913053	1460
17119-05-39-243200084_1.fastq	bin_538	3.2711895	0.8684784	1629190	1875913	40696
17119-05-39-243200084_1.fastq	bin_377	0.012322095	0.011695702	30740	2628316	235
17119-05-39-243200084_1.fastq	bin_153	73.69861	0.99325544	1809482	1821769	894281
17119-05-39-243200084_1.fastq	bin_371	0.0024784883	0.0020776498	1811	871658	30
17119-05-39-243200084_1.fastq	bin_39	10.889445	0.9772037	2640984	2702593	197850
17119-05-39-243200084_1.fastq	bin_464	2.907991	0.91124433	4001263	4390988	85106
17119-05-39-243200084_1.fastq	bin_201	0.08703404	0.05145541	72682	1412524	894
17119-05-39-243200084_1.fastq	bin_445	0.0416867	0.039620653	112783	2846571	804
17119-05-39-243200084_1.fastq	bin_19	2.687644	0.84830797	1775881	2093439	38264
17119-05-39-243200084_1.fastq	bin_207	0.36724663	0.21898206	1004172	4585636	11797
17119-05-39-243200084_1.fastq	bin_239	2.4169266	0.8015638	1525117	1902677	33486
17119-05-39-243200084_1.fastq	bin_108	0.33924475	0.24490616	423202	1728017	3955
17119-05-39-243200084_1.fastq	bin_188	0.14451408	0.10769821	164180	1524445	1565
17119-05-39-243200084_1.fastq	bin_505	0.03201459	0.029525055	69032	2338082	542
17119-05-39-243200084_1.fastq	bin_246	1.854154	0.73487866	734085	998920	12142
17119-05-39-243200084_1.fastq	bin_415	14.604786	0.991223	1512182	1525572	148661
17119-05-39-243200084_1.fastq	bin_495	0.046216805	0.031820893	73807	2319451	871
17119-05-39-243200084_1.fastq	bin_48	24.682528	0.9986663	2328711	2331821	389483
17119-05-39-243200084_1.fastq	bin_280	0.3219128	0.17453258	362238	2075475	4773
17119-05-39-243200084_1.fastq	bin_203	5.0540595	0.94581825	1564616	1654246	58077
17119-05-39-243200084_1.fastq	bin_211	8.146991	0.9270331	1812487	1955148	113822
17119-05-39-243200084_1.fastq	bin_359	20.530996	0.9943192	1707950	1717708	234549
17119-05-39-243200084_1.fastq	bin_448	0.00933521	0.0075193965	14803	1968642	174
17119-05-39-243200084_1.fastq	bin_547	15.235395	0.9905672	1698275	1714447	172565
17119-05-39-243200084_1.fastq	bin_341	0.08836956	0.07835807	171271	2185748	1331
17119-05-39-243200084_1.fastq	bin_80	0.405877	0.20543213	520367	2533036	7805
17119-05-39-243200084_1.fastq	bin_115	2.629189	0.7480115	1440825	1926207	34217
17119-05-39-243200084_1.fastq	bin_426	6.796488	0.9991567	1524856	1526143	68946
17119-05-39-243200084_1.fastq	bin_471	0.034975093	0.031105762	63605	2044798	489
17119-05-39-243200084_1.fastq	bin_230	25.954937	0.9988095	2026990	2029406	353184
17119-05-39-243200084_1.fastq	bin_583	0.0028601266	0.0028872471	7115	2464285	58
17119-05-39-243200084_1.fastq	bin_518	0.078268655	0.03760142	106063	2820718	1678
17119-05-39-243200084_1.fastq	bin_422	2.362628	0.7970107	1156720	1451323	22830
17119-05-39-243200084_1.fastq	bin_236	2.9814868	0.778044	3395454	4364090	87235
17119-05-39-243200084_1.fastq	bin_283	0.28624722	0.19026412	470362	2472153	4879
17119-05-39-243200084_1.fastq	bin_456	2.1838367	0.7982008	1177149	1474753	21439
17119-05-39-243200084_1.fastq	bin_155	2.8436704	0.8150767	3580672	4393049	84760
17119-05-39-243200084_1.fastq	bin_14	0.18223545	0.051874664	137765	2655728	3439
17119-05-39-243200084_1.fastq	bin_516	0.036396213	0.029137362	67315	2310264	619
17119-05-39-243200084_1.fastq	bin_138	0.7950854	0.4134581	1669328	4037478	22949
17119-05-39-243200084_1.fastq	bin_98	0.31874013	0.1728466	340588	1970464	4466
17119-05-39-243200084_1.fastq	bin_1	0.13233215	0.038758103	73890	1906440	1965
17119-05-39-243200084_1.fastq	bin_243	0.1985829	0.141824	300418	2118245	2977
17119-05-39-243200084_1.fastq	bin_442	0.004152706	0.0036793256	8936	2428706	77
17119-05-39-243200084_1.fastq	bin_193	6.694693	0.9294013	1277595	1374643	67311
17119-05-39-243200084_1.fastq	bin_318	0.037727665	0.03592626	99590	2772067	703
17119-05-39-243200084_1.fastq	bin_286	8.542846	0.9095352	1580302	1737483	100602
17119-05-39-243200084_1.fastq	bin_89	12.158617	0.9995468	2933363	2934693	238363
17119-05-39-243200084_1.fastq	bin_73	0.07889119	0.039175864	78276	1998067	1197
17119-05-39-243200084_1.fastq	bin_97	13.699047	0.99881727	1885738	1887971	176200
17119-05-39-243200084_1.fastq	bin_288	0.050338995	0.025241628	69652	2759410	1196
17119-05-39-243200084_1.fastq	bin_507	0.03888105	0.03606521	95229	2640467	695
17119-05-39-243200084_1.fastq	bin_366	0.039848614	0.038420416	109030	2837814	766
17119-05-39-243200084_1.fastq	bin_189	0.00342472	0.003312686	7698	2323794	56
17119-05-39-243200084_1.fastq	bin_179	0.025564773	0.0114167705	21997	1926727	423
17119-05-39-243200084_1.fastq	bin_487	0.029362934	0.016976042	29833	1757359	416
17119-05-39-243200084_1.fastq	bin_321	2.214729	0.8530751	2275530	2667444	39482
17119-05-39-243200084_1.fastq	bin_62	0.04596748	0.028794756	53519	1858637	627
17119-05-39-243200084_1.fastq	bin_282	0.17859259	0.12375234	292194	2361119	2890
17119-05-39-243200084_1.fastq	bin_407	0.012235068	0.011480986	27493	2394655	214
17119-05-39-243200084_1.fastq	bin_205	6.0979357	0.9824837	2349150	2391032	97276
17119-05-39-243200084_1.fastq	bin_462	2.1664758	0.8443087	2223861	2633943	38187
17119-05-39-243200084_1.fastq	bin_301	0.14501663	0.09899044	460174	4648671	4936
17119-05-39-243200084_1.fastq	bin_319	0.057348672	0.04282804	87998	2054682	806
17119-05-39-243200084_1.fastq	bin_504	0.0049172714	0.0047147046	8079	1713575	67
17119-05-39-243200084_1.fastq	bin_417	0.27682725	0.042897224	172448	4020027	8571
17119-05-39-243200084_1.fastq	bin_378	2.4805126	0.78278244	2115522	2702567	44620
17119-05-39-243200084_1.fastq	bin_190	30.785393	0.99848765	1520487	1522790	315753
17119-05-39-243200084_1.fastq	bin_330	0.038225025	0.03724882	105685	2837271	738
17119-05-39-243200084_1.fastq	bin_443	7.7895875	0.97393316	1618600	1661921	85587
17119-05-39-243200084_1.fastq	bin_384	0.20162843	0.09670477	128120	1324857	2603
17119-05-39-243200084_1.fastq	bin_503	0.26476943	0.18782634	219797	1170214	2170
17119-05-39-243200084_1.fastq	bin_123	0.026814377	0.019339794	57262	2960838	609
17119-05-39-243200084_1.fastq	bin_458	13.8082	0.88325256	543180	614977	57053
17119-05-39-243200084_1.fastq	bin_459	0.038207185	0.037118666	100695	2712786	696
17119-05-39-243200084_1.fastq	bin_214	4.9363866	0.9589737	2500849	2607839	87701
17119-05-39-243200084_1.fastq	bin_447	0.085683	0.03502113	82526	2356463	1449
17119-05-39-243200084_1.fastq	bin_33	2.1881366	0.72996056	3367257	4612930	68026
17119-05-39-243200084_1.fastq	bin_235	9.137077	0.99956256	1850983	1851793	115355
17119-05-39-243200084_1.fastq	bin_293	2.3180146	0.7723478	1313742	1700972	26840
17119-05-39-243200084_1.fastq	bin_206	0.026393576	0.016002169	32637	2039536	441
17119-05-39-243200084_1.fastq	bin_478	21.425976	0.9989865	1969313	1971311	286463
17119-05-39-243200084_1.fastq	bin_102	46.42944	0.9973643	2230674	2236569	690913
17119-05-39-243200084_1.fastq	bin_290	18.957853	0.77816975	1506865	1936422	253982
17119-05-39-243200084_1.fastq	bin_451	1.8942621	0.72563595	3043952	4194875	53118
