Sample	Genome	Mean	Covered Fraction	Covered Bases	Length	Read Count
17119-05-19-243200062_1.fastq	bin_178	0.00032706754	0.0002857361	868	3037768	13
17119-05-19-243200062_1.fastq	bin_577	0.044681795	0.040111464	90845	2264814	683
17119-05-19-243200062_1.fastq	bin_154	0.37932932	0.16817321	363092	2159036	5384
17119-05-19-243200062_1.fastq	bin_265	0.000106028354	0.00009699703	229	2360897	5
17119-05-19-243200062_1.fastq	bin_183	0.00057431066	0.0004671934	1020	2183250	8
17119-05-19-243200062_1.fastq	bin_85	12.815969	0.89964455	3751794	4170307	378109
17119-05-19-243200062_1.fastq	bin_360	0.0027529406	0.0024185283	3087	1276396	60
17119-05-19-243200062_1.fastq	bin_585	0.08174664	0.012526067	26159	2088365	1433
17119-05-19-243200062_1.fastq	bin_55	0.0022219417	0.00085836125	1601	1865182	53
17119-05-19-243200062_1.fastq	bin_508	47.526524	0.91846275	1063083	1157459	365391
17119-05-19-243200062_1.fastq	bin_457	0.027603356	0.025901536	49517	1911740	352
17119-05-19-243200062_1.fastq	bin_439	10.160627	0.9968988	2004896	2011133	136786
17119-05-19-243200062_1.fastq	bin_25	16.15709	0.9969601	4743596	4758060	513672
17119-05-19-243200062_1.fastq	bin_450	1.928121	0.82565403	2053996	2487720	31955
17119-05-19-243200062_1.fastq	bin_506	0.52050245	0.3748841	1073057	2862370	9896
17119-05-19-243200062_1.fastq	bin_316	3.4836998	0.21199499	600709	2833600	72573
17119-05-19-243200062_1.fastq	bin_181	0.0014007093	0.00035276625	1112	3152229	38
17119-05-19-243200062_1.fastq	bin_338	11.367877	0.9986084	2643696	2647380	200705
17119-05-19-243200062_1.fastq	bin_42	3.5319095	0.8638342	2083575	2412008	61358
17119-05-19-243200062_1.fastq	bin_63	0.000612999	0.0005297781	954	1800754	12
17119-05-19-243200062_1.fastq	bin_279	0.08603178	0.03385811	76453	2258041	1443
17119-05-19-243200062_1.fastq	bin_113	0.0055504544	0.0014074376	2301	1634886	310
17119-05-19-243200062_1.fastq	bin_129	0.0013542679	0.0013086725	2328	1778902	49
17119-05-19-243200062_1.fastq	bin_119	0.061067574	0.041957267	113790	2712045	1118
17119-05-19-243200062_1.fastq	bin_54	3.6261492	0.9089733	2361848	2598369	65658
17119-05-19-243200062_1.fastq	bin_67	0.019790955	0.014632982	43398	2965766	397
17119-05-19-243200062_1.fastq	bin_281	7.211032	0.96705216	4200012	4343108	210290
17119-05-19-243200062_1.fastq	bin_101	0.0031308194	0.00053450983	929	1738041	46
17119-05-19-243200062_1.fastq	bin_260	0.6350239	0.27928567	679559	2433204	10310
17119-05-19-243200062_1.fastq	bin_499	5.2323446	0.68262243	1082687	1586070	54733
17119-05-19-243200062_1.fastq	bin_386	6.743187	0.9686401	2008978	2074019	93491
17119-05-19-243200062_1.fastq	bin_475	4.5467315	0.7231303	1432046	1980343	60214
17119-05-19-243200062_1.fastq	bin_128	0.0033296237	0.0016058548	4485	2792905	141
17119-05-19-243200062_1.fastq	bin_185	0.0141642755	0.013116039	35027	2670547	268
17119-05-19-243200062_1.fastq	bin_580	1.9327433	0.82659674	1974323	2388496	30743
17119-05-19-243200062_1.fastq	bin_86	0.008446503	0.0070915986	12829	1809042	107
17119-05-19-243200062_1.fastq	bin_326	1.9405459	0.82723707	1999791	2417434	31238
17119-05-19-243200062_1.fastq	bin_224	0.18036881	0.011885703	24143	2031264	2959
17119-05-19-243200062_1.fastq	bin_362	6.9679637	0.87128985	1681944	1930407	89733
17119-05-19-243200062_1.fastq	bin_222	0.10290771	0.03637729	45442	1249186	1405
17119-05-19-243200062_1.fastq	bin_574	0.28244627	0.21849866	618115	2828919	5473
17119-05-19-243200062_1.fastq	bin_584	0.19778053	0.15980378	454543	2844382	3743
17119-05-19-243200062_1.fastq	bin_169	1.9069474	0.5747244	760046	1322453	16854
17119-05-19-243200062_1.fastq	bin_139	0.05438741	0.008685259	19693	2267405	914
17119-05-19-243200062_1.fastq	bin_99	0.082504	0.033040605	66350	2008135	1160
17119-05-19-243200062_1.fastq	bin_264	0.0018067245	0.0014097599	7200	5107253	70
17119-05-19-243200062_1.fastq	bin_81	0.50145173	0.036555205	88250	2414157	8159
17119-05-19-243200062_1.fastq	bin_425	1.500548	0.43677586	671238	1536802	15600
17119-05-19-243200062_1.fastq	bin_501	2.1660514	0.46814138	762004	1627722	24094
17119-05-19-243200062_1.fastq	bin_531	2.5824804	0.9040515	2189064	2421393	41697
17119-05-19-243200062_1.fastq	bin_20	7.886863	0.9860293	2034217	2063039	110353
17119-05-19-243200062_1.fastq	bin_396	0.10517763	0.07227997	334588	4629056	3952
17119-05-19-243200062_1.fastq	bin_93	0	0	0	2434168	0
17119-05-19-243200062_1.fastq	bin_373	6.020969	0.7189548	1266244	1761229	70079
17119-05-19-243200062_1.fastq	bin_393	1.3130714	0.66631496	2037807	3058324	26946
17119-05-19-243200062_1.fastq	bin_353	40.493626	0.9154733	840301	917887	246457
17119-05-19-243200062_1.fastq	bin_82	0.36203057	0.08536596	352065	4124185	10444
17119-05-19-243200062_1.fastq	bin_46	11.355475	0.99898493	2500711	2503252	189760
17119-05-19-243200062_1.fastq	bin_41	0.00009938178	0.00006258709	133	2125039	6
17119-05-19-243200062_1.fastq	bin_162	0.0023151978	0.0017034062	2964	1740043	39
17119-05-19-243200062_1.fastq	bin_77	0.00012688636	0.00007541107	89	1180198	3
17119-05-19-243200062_1.fastq	bin_400	11.698261	0.98472303	1608484	1633438	125201
17119-05-19-243200062_1.fastq	bin_485	0.00046747574	0.00008043806	230	2859343	45
17119-05-19-243200062_1.fastq	bin_166	0.0048423773	0.00407897	8453	2072337	67
17119-05-19-243200062_1.fastq	bin_358	7.0524864	0.8757929	1665625	1901848	90293
17119-05-19-243200062_1.fastq	bin_51	0.7548002	0.030936314	89826	2903578	15150
17119-05-19-243200062_1.fastq	bin_56	0.36017546	0.03147051	88908	2825121	7230
17119-05-19-243200062_1.fastq	bin_277	13.619051	0.9903306	4746404	4792747	451493
17119-05-19-243200062_1.fastq	bin_476	0.62983894	0.30494198	444184	1456618	6160
17119-05-19-243200062_1.fastq	bin_555	13.34168	0.9908496	4039895	4077203	361675
17119-05-19-243200062_1.fastq	bin_344	11.835064	0.99893653	2662108	2664942	210653
17119-05-19-243200062_1.fastq	bin_364	1.4572462	0.67525136	1397615	2069770	19650
17119-05-19-243200062_1.fastq	bin_40	0.05291089	0.018528318	27347	1475957	918
17119-05-19-243200062_1.fastq	bin_161	1.5607675	0.44322616	665540	1501581	17313
17119-05-19-243200062_1.fastq	bin_528	0.11574433	0.023657039	56236	2377136	1895
17119-05-19-243200062_1.fastq	bin_21	0.00047608485	0.00043274884	1913	4420578	14
17119-05-19-243200062_1.fastq	bin_430	0.2849869	0.21975176	623414	2836901	5549
17119-05-19-243200062_1.fastq	bin_453	8.308323	0.98986703	1859490	1878525	103734
17119-05-19-243200062_1.fastq	bin_147	0.03602922	0.011476998	21950	1912521	790
17119-05-19-243200062_1.fastq	bin_517	0.27907488	0.21595788	612801	2837595	5434
17119-05-19-243200062_1.fastq	bin_251	0.000016259943	0.000008116687	38	4681713	2
17119-05-19-243200062_1.fastq	bin_198	0.0472384	0.0100893285	22928	2272500	968
17119-05-19-243200062_1.fastq	bin_405	0.00090452423	0.0008989952	1456	1619586	12
17119-05-19-243200062_1.fastq	bin_455	0.0009920272	0.00095705467	2939	3070880	26
17119-05-19-243200062_1.fastq	bin_382	0.078996584	0.071705095	177849	2480284	1304
17119-05-19-243200062_1.fastq	bin_76	0.0023182707	0.0011530847	1527	1324274	49
17119-05-19-243200062_1.fastq	bin_88	0.019425191	0.0010862906	3000	2761692	1143
17119-05-19-243200062_1.fastq	bin_186	0.47146925	0.20468776	477120	2330965	7306
17119-05-19-243200062_1.fastq	bin_399	0.27886355	0.21969564	623402	2837571	5312
17119-05-19-243200062_1.fastq	bin_292	0.06312915	0.0123582035	21427	1733828	919
17119-05-19-243200062_1.fastq	bin_38	2.8984902	0.9106767	2342561	2572330	49894
17119-05-19-243200062_1.fastq	bin_275	0.007740803	0.004773569	9368	1962473	103
17119-05-19-243200062_1.fastq	bin_346	0.03455523	0.03235333	60023	1855234	421
17119-05-19-243200062_1.fastq	bin_477	46.644073	0.9192857	866527	942609	292053
17119-05-19-243200062_1.fastq	bin_304	0.01462246	0.013955313	37312	2673677	262
17119-05-19-243200062_1.fastq	bin_295	0.05477667	0.01796484	32108	1787269	761
17119-05-19-243200062_1.fastq	bin_351	11.535234	0.99386084	2464119	2479340	190043
17119-05-19-243200062_1.fastq	bin_409	0.00038352804	0.00037902224	1355	3574988	9
17119-05-19-243200062_1.fastq	bin_404	22.328094	0.9907044	3986331	4023734	597236
17119-05-19-243200062_1.fastq	bin_403	10.941306	0.99777067	2053857	2058446	151353
17119-05-19-243200062_1.fastq	bin_142	0.009235813	0.0031032842	6127	1974360	136
17119-05-19-243200062_1.fastq	bin_534	0.038085774	0.014950049	27146	1815780	585
17119-05-19-243200062_1.fastq	bin_219	0.30438852	0.13459548	541234	4021190	8412
17119-05-19-243200062_1.fastq	bin_573	0.0013469612	0.00047524695	650	1367710	12
17119-05-19-243200062_1.fastq	bin_434	3.7422683	0.8633697	1172444	1357986	32937
17119-05-19-243200062_1.fastq	bin_268	0.25520805	0.2118977	588527	2777411	4764
17119-05-19-243200062_1.fastq	bin_436	6.543466	0.86615694	1521053	1756094	76574
17119-05-19-243200062_1.fastq	bin_352	0.06030563	0.036415752	49205	1351201	564
17119-05-19-243200062_1.fastq	bin_332	0.74309367	0.49390322	1015549	2056170	10182
17119-05-19-243200062_1.fastq	bin_414	0.00004437716	0.000044100445	122	2766412	1
17119-05-19-243200062_1.fastq	bin_328	0.0013035614	0.0013010243	2206	1695587	15
17119-05-19-243200062_1.fastq	bin_165	0	0	0	1250295	0
17119-05-19-243200062_1.fastq	bin_141	7.432627	0.9735798	2944931	3024848	150648
17119-05-19-243200062_1.fastq	bin_582	0.49882025	0.3540315	883441	2495374	8185
17119-05-19-243200062_1.fastq	bin_284	0.00035575766	0.0003241367	1914	5904916	16
17119-05-19-243200062_1.fastq	bin_287	0.00035958094	0.000246653	420	1702797	14
17119-05-19-243200062_1.fastq	bin_195	4.4082923	0.9539944	2169866	2274506	67335
17119-05-19-243200062_1.fastq	bin_467	1.5182372	0.6538473	1608153	2459524	25141
17119-05-19-243200062_1.fastq	bin_110	0.09370915	0.0049376036	23502	4759799	3135
17119-05-19-243200062_1.fastq	bin_64	1.69438	0.6694808	1901517	2840286	32490
17119-05-19-243200062_1.fastq	bin_144	0.10605494	0.0052732765	10763	2041046	2303
17119-05-19-243200062_1.fastq	bin_363	0.71052307	0.462899	752546	1625724	7721
17119-05-19-243200062_1.fastq	bin_257	1.2557266	0.61681825	2504255	4059956	34145
17119-05-19-243200062_1.fastq	bin_176	5.541684	0.977018	4204505	4303406	160349
17119-05-19-243200062_1.fastq	bin_34	0.8248297	0.504046	1779234	3529904	19366
17119-05-19-243200062_1.fastq	bin_29	0.18802404	0.12741049	235450	1847964	2303
17119-05-19-243200062_1.fastq	bin_556	0.105801255	0.060602084	115935	1913053	1345
17119-05-19-243200062_1.fastq	bin_538	8.842254	0.9939283	1864523	1875913	110262
17119-05-19-243200062_1.fastq	bin_377	0.0782176	0.07199249	189219	2628316	1370
17119-05-19-243200062_1.fastq	bin_153	0.004886108	0.0020205635	3681	1821769	106
17119-05-19-243200062_1.fastq	bin_371	0.00017190466	0.000057361947	50	871658	3
17119-05-19-243200062_1.fastq	bin_39	0.0004113923	0.00016132655	436	2702593	19
17119-05-19-243200062_1.fastq	bin_464	7.5440354	0.96098393	4219669	4390988	219666
17119-05-19-243200062_1.fastq	bin_201	0.034226116	0.027550682	38916	1412524	324
17119-05-19-243200062_1.fastq	bin_445	0.3184198	0.22784185	648568	2846571	6082
17119-05-19-243200062_1.fastq	bin_19	0.06241912	0.047805548	100078	2093439	893
17119-05-19-243200062_1.fastq	bin_207	0	0	0	4585636	0
17119-05-19-243200062_1.fastq	bin_239	0.000316659	0.00017343984	330	1902677	11
