Sample	Genome	Mean	Covered Fraction	Covered Bases	Length	Read Count
17119-05-35-243200067_1.fastq	bin_178	0.008601611	0.006635464	20157	3037768	180
17119-05-35-243200067_1.fastq	bin_577	0.4980015	0.33816198	765874	2264814	7516
17119-05-35-243200067_1.fastq	bin_154	0.02812085	0.020988071	45314	2159036	399
17119-05-35-243200067_1.fastq	bin_265	0.0025027823	0.002079718	4910	2360897	42
17119-05-35-243200067_1.fastq	bin_183	0.0060052816	0.005189511	11330	2183250	85
17119-05-35-243200067_1.fastq	bin_85	2.9394655	0.58117306	2423670	4170307	110025
17119-05-35-243200067_1.fastq	bin_360	0.0049017547	0.004371684	5580	1276396	41
17119-05-35-243200067_1.fastq	bin_585	0.08603455	0.03143799	65654	2088365	1453
17119-05-35-243200067_1.fastq	bin_55	0.002299217	0.0016105667	3004	1865182	32
17119-05-35-243200067_1.fastq	bin_508	0.079260215	0.045389947	52537	1157459	614
17119-05-35-243200067_1.fastq	bin_457	0.35618865	0.26079854	498579	1911740	4510
17119-05-35-243200067_1.fastq	bin_439	2.9169734	0.86072826	1731039	2011133	39194
17119-05-35-243200067_1.fastq	bin_25	0.95081735	0.47094783	2240798	4758060	30379
17119-05-35-243200067_1.fastq	bin_450	5.4502897	0.9835319	2446752	2487720	90287
17119-05-35-243200067_1.fastq	bin_506	0.006793467	0.006583705	18845	2862370	129
17119-05-35-243200067_1.fastq	bin_316	10.294928	0.09157397	259484	2833600	200409
17119-05-35-243200067_1.fastq	bin_181	0.014786223	0.01344509	42382	3152229	313
17119-05-35-243200067_1.fastq	bin_338	145.7501	0.99969745	2646579	2647380	2570305
17119-05-35-243200067_1.fastq	bin_42	0.24762861	0.0073175547	17650	2412008	13080
17119-05-35-243200067_1.fastq	bin_63	0.0043834024	0.0036928975	6650	1800754	53
17119-05-35-243200067_1.fastq	bin_279	0.43760473	0.019017369	42942	2258041	6698
17119-05-35-243200067_1.fastq	bin_113	0.022819571	0.019431936	31769	1634886	258
17119-05-35-243200067_1.fastq	bin_129	2.1024332	0.65734595	1169354	1778902	24897
17119-05-35-243200067_1.fastq	bin_119	3.6166692	0.58312637	1581465	2712045	65034
17119-05-35-243200067_1.fastq	bin_54	0.8754421	0.4368021	1134973	2598369	15302
