Sample	Genome	Mean	Covered Fraction	Covered Bases	Length	Read Count
17119-05-40-243200090_1.fastq	bin_178	0.7872356	0.33556414	1019366	3037768	17697
17119-05-40-243200090_1.fastq	bin_577	0.3446479	0.17667897	400145	2264814	5512
17119-05-40-243200090_1.fastq	bin_154	0.9196182	0.4152673	896577	2159036	13459
17119-05-40-243200090_1.fastq	bin_265	0.0029679388	0.0019467177	4596	2360897	105
17119-05-40-243200090_1.fastq	bin_183	0.8748393	0.19118883	417413	2183250	13543
17119-05-40-243200090_1.fastq	bin_85	19.402756	0.97390985	4061503	4170307	576207
17119-05-40-243200090_1.fastq	bin_360	4.2580953	0.95841885	1223322	1276396	35851
17119-05-40-243200090_1.fastq	bin_585	0.013114454	0.008649829	18064	2088365	271
17119-05-40-243200090_1.fastq	bin_55	1.0321374	0.50746256	946510	1865182	14090
17119-05-40-243200090_1.fastq	bin_508	17.096458	0.98155963	1136115	1157459	131914
17119-05-40-243200090_1.fastq	bin_457	0.27076164	0.19062267	364421	1911740	3524
17119-05-40-243200090_1.fastq	bin_439	3.3685808	0.7836851	1576095	2011133	45654
17119-05-40-243200090_1.fastq	bin_25	3.344257	0.75998855	3616071	4758060	106410
17119-05-40-243200090_1.fastq	bin_450	0.19187081	0.16214848	403380	2487720	3338
17119-05-40-243200090_1.fastq	bin_506	0.02834046	0.024812305	71022	2862370	598
17119-05-40-243200090_1.fastq	bin_316	2.4320552	0.025763692	73004	2833600	53683
17119-05-40-243200090_1.fastq	bin_181	12.777153	0.9663232	3046072	3152229	272288
17119-05-40-243200090_1.fastq	bin_338	0.84577745	0.41244438	1091897	2647380	15048
17119-05-40-243200090_1.fastq	bin_42	2.1191168	0.62823135	1515299	2412008	44861
17119-05-40-243200090_1.fastq	bin_63	6.893473	0.99871165	1798434	1800754	82916
17119-05-40-243200090_1.fastq	bin_279	0.28386945	0.04045542	91350	2258041	6523
17119-05-40-243200090_1.fastq	bin_113	23.67404	0.997872	1631407	1634886	261292
17119-05-40-243200090_1.fastq	bin_129	0.004129333	0.003885543	6912	1778902	161
17119-05-40-243200090_1.fastq	bin_119	0.0326205	0.023825195	64615	2712045	673
17119-05-40-243200090_1.fastq	bin_54	0.01487836	0.012239986	31804	2598369	287
17119-05-40-243200090_1.fastq	bin_67	0.0053849947	0.0048972173	14524	2965766	145
17119-05-40-243200090_1.fastq	bin_281	2.4207265	0.7218492	3135069	4343108	71229
17119-05-40-243200090_1.fastq	bin_101	57.983692	0.9973798	1733487	1738041	674381
17119-05-40-243200090_1.fastq	bin_260	0.36967206	0.27411225	666971	2433204	6182
17119-05-40-243200090_1.fastq	bin_499	1.1141902	0.51879865	822851	1586070	11675
17119-05-40-243200090_1.fastq	bin_386	0.0046780817	0.0036238818	7516	2074019	121
17119-05-40-243200090_1.fastq	bin_475	1.4324368	0.61359775	1215134	1980343	19003
17119-05-40-243200090_1.fastq	bin_128	14.345276	0.95497197	2667146	2792905	288516
17119-05-40-243200090_1.fastq	bin_185	0.032923535	0.031205218	83335	2670547	612
17119-05-40-243200090_1.fastq	bin_580	0.18798606	0.16166869	386145	2388496	3113
17119-05-40-243200090_1.fastq	bin_86	0.21006024	0.12930214	233913	1809042	2690
17119-05-40-243200090_1.fastq	bin_326	0.19807522	0.16532075	399652	2417434	3330
17119-05-40-243200090_1.fastq	bin_224	53.37957	0.9998434	2030946	2031264	733035
17119-05-40-243200090_1.fastq	bin_362	5.501751	0.9423484	1819116	1930407	71478
