Sample	Genome	Mean	Covered Fraction	Covered Bases	Length	Read Count
17119-05-31-243200080_1.fastq	bin_178	0.0018725113	0.0014987978	4553	3037768	38
17119-05-31-243200080_1.fastq	bin_577	12.950647	0.8847221	2003731	2264814	194958
17119-05-31-243200080_1.fastq	bin_154	2.704031	0.81756765	1765158	2159036	38501
17119-05-31-243200080_1.fastq	bin_265	0.008433957	0.004899409	11567	2360897	155
17119-05-31-243200080_1.fastq	bin_183	0.007358504	0.005385091	11757	2183250	103
17119-05-31-243200080_1.fastq	bin_85	10.646387	0.96832466	4038211	4170307	314916
17119-05-31-243200080_1.fastq	bin_360	0.08585794	0.06694474	85448	1276396	724
17119-05-31-243200080_1.fastq	bin_585	0.011324414	0.010153877	21205	2088365	168
17119-05-31-243200080_1.fastq	bin_55	0.3249874	0.21929549	409026	1865182	4053
17119-05-31-243200080_1.fastq	bin_508	28.669603	0.9830119	1137796	1157459	220800
17119-05-31-243200080_1.fastq	bin_457	12.42109	0.91997814	1758759	1911740	156958
17119-05-31-243200080_1.fastq	bin_439	3.286825	0.7762823	1561207	2011133	44582
17119-05-31-243200080_1.fastq	bin_25	5.2356744	0.7892223	3755167	4758060	166502
17119-05-31-243200080_1.fastq	bin_450	2.2035851	0.6961575	1731845	2487720	36496
17119-05-31-243200080_1.fastq	bin_506	0.6905835	0.44728214	1280287	2862370	13183
17119-05-31-243200080_1.fastq	bin_316	4.2744837	0.08141728	230704	2833600	86060
17119-05-31-243200080_1.fastq	bin_181	0.002560457	0.0014205821	4478	3152229	62
17119-05-31-243200080_1.fastq	bin_338	4.466264	0.525095	1390126	2647380	78793
17119-05-31-243200080_1.fastq	bin_42	0.20739746	0.005550562	13388	2412008	7618
17119-05-31-243200080_1.fastq	bin_63	0.0122198025	0.005516023	9933	1800754	190
17119-05-31-243200080_1.fastq	bin_279	0.19013837	0.016148068	36463	2258041	2937
17119-05-31-243200080_1.fastq	bin_113	0.07008615	0.00943185	15420	1634886	975
17119-05-31-243200080_1.fastq	bin_129	0.01510612	0.014427439	25665	1778902	185
17119-05-31-243200080_1.fastq	bin_119	0.8277288	0.3885448	1053751	2712045	14921
17119-05-31-243200080_1.fastq	bin_54	0.39580837	0.26441625	687051	2598369	6899
17119-05-31-243200080_1.fastq	bin_67	0.39810333	0.27770028	823594	2965766	7801
17119-05-31-243200080_1.fastq	bin_281	0.14912379	0.04058154	176250	4343108	4543
17119-05-31-243200080_1.fastq	bin_101	0.0039078663	0.0034515872	5999	1738041	51
17119-05-31-243200080_1.fastq	bin_260	44.842205	0.9897929	2408368	2433204	723268
17119-05-31-243200080_1.fastq	bin_499	1.4347508	0.5860227	929473	1586070	14982
17119-05-31-243200080_1.fastq	bin_386	0.0031128535	0.0028056637	5819	2074019	44
17119-05-31-243200080_1.fastq	bin_475	1.7795008	0.6765828	1339866	1980343	23482
17119-05-31-243200080_1.fastq	bin_128	0.0016170896	0.0013104635	3660	2792905	37
17119-05-31-243200080_1.fastq	bin_185	0.7799938	0.43404216	1159130	2670547	13870
17119-05-31-243200080_1.fastq	bin_580	2.2112918	0.7003746	1672842	2388496	35148
17119-05-31-243200080_1.fastq	bin_86	0.5302571	0.27703062	501160	1809042	6425
17119-05-31-243200080_1.fastq	bin_326	2.2067099	0.6988737	1689481	2417434	35499
17119-05-31-243200080_1.fastq	bin_224	0.16280802	0.0017457111	3546	2031264	3018
17119-05-31-243200080_1.fastq	bin_362	4.8175178	0.94224894	1818924	1930407	62159
17119-05-31-243200080_1.fastq	bin_222	0.0026388504	0.0016570791	2070	1249186	36
17119-05-31-243200080_1.fastq	bin_574	0.10985431	0.08152902	230639	2828919	2528
17119-05-31-243200080_1.fastq	bin_584	0.1600664	0.1389852	395327	2844382	3031
17119-05-31-243200080_1.fastq	bin_169	0.003998124	0.0033755454	4464	1322453	44
17119-05-31-243200080_1.fastq	bin_139	59.509003	0.9987016	2264461	2267405	896622
17119-05-31-243200080_1.fastq	bin_99	0.49960715	0.26078674	523695	2008135	6822
17119-05-31-243200080_1.fastq	bin_264	0.0027323023	0.00013764738	703	5107253	248
17119-05-31-243200080_1.fastq	bin_81	61.8404	0.9931802	2397693	2414157	994439
17119-05-31-243200080_1.fastq	bin_425	5.00015	0.81246054	1248591	1536802	50769
17119-05-31-243200080_1.fastq	bin_501	5.1040854	0.80576104	1311555	1627722	55310
17119-05-31-243200080_1.fastq	bin_531	0.34938192	0.25528693	618150	2421393	5678
17119-05-31-243200080_1.fastq	bin_20	0.002459854	0.0023024287	4750	2063039	38
17119-05-31-243200080_1.fastq	bin_396	0.059164625	0.028908053	133817	4629056	2244
17119-05-31-243200080_1.fastq	bin_93	0.0052005276	0.0045177653	10997	2434168	94
17119-05-31-243200080_1.fastq	bin_373	1.5629617	0.6072589	1069522	1761229	18189
17119-05-31-243200080_1.fastq	bin_393	0.04663858	0.010483847	32063	3058324	1011
17119-05-31-243200080_1.fastq	bin_353	17.185831	0.940533	863303	917887	104819
17119-05-31-243200080_1.fastq	bin_82	3.246524	0.92189777	3802077	4124185	89282
17119-05-31-243200080_1.fastq	bin_46	5.5439506	0.54761404	1370816	2503252	93537
17119-05-31-243200080_1.fastq	bin_41	0.0003320689	0.0002767008	588	2125039	7
17119-05-31-243200080_1.fastq	bin_162	0.22084114	0.168751	293634	1740043	2594
17119-05-31-243200080_1.fastq	bin_77	0.00083162007	0.000821896	970	1180198	8
17119-05-31-243200080_1.fastq	bin_400	0.0019106015	0.0017105027	2794	1633438	22
17119-05-31-243200080_1.fastq	bin_485	0.005007744	0.00012800143	366	2859343	279
17119-05-31-243200080_1.fastq	bin_166	0.01952326	0.01679746	34810	2072337	272
17119-05-31-243200080_1.fastq	bin_358	4.651578	0.9383058	1784515	1901848	59585
17119-05-31-243200080_1.fastq	bin_51	0.11059741	0.014001346	40654	2903578	2196
17119-05-31-243200080_1.fastq	bin_56	0.19483966	0.019435627	54908	2825121	4027
17119-05-31-243200080_1.fastq	bin_277	14.029824	0.9928058	4758267	4792747	462448
17119-05-31-243200080_1.fastq	bin_476	9.154928	0.9975093	1452990	1456618	88789
17119-05-31-243200080_1.fastq	bin_555	4.186797	0.7869517	3208562	4077203	113611
17119-05-31-243200080_1.fastq	bin_344	4.4105444	0.5242872	1397195	2664942	78329
17119-05-31-243200080_1.fastq	bin_364	0.0014705001	0.0013334815	2760	2069770	30
17119-05-31-243200080_1.fastq	bin_40	0.00360874	0.0025502099	3764	1475957	55
17119-05-31-243200080_1.fastq	bin_161	5.0578	0.82305515	1235884	1501581	50843
17119-05-31-243200080_1.fastq	bin_528	59.962524	0.9973514	2370840	2377136	948263
17119-05-31-243200080_1.fastq	bin_21	0.0013974077	0.0010503151	4643	4420578	46
17119-05-31-243200080_1.fastq	bin_430	0.11285183	0.08421654	238914	2836901	2597
