""	"17119-05-33-243200064"	"17119-05-40-243200090"	"17119-05-06-243200069"	"17119-05-09-243200070"	"17119-05-15-243200093"	"17119-05-18-243200100"	"17119-05-20-243200063"	"17119-05-28-243200078"	"17119-05-31-243200080"	"17119-05-34-243200097"	"17119-05-36-243200079"	"17119-05-39-243200084"	"17119-05-14-243200089"	"17119-05-17-243200086"	"17119-05-23-243200073"	"17119-05-26-243200098"	"17119-05-35-243200067"	"17119-05-37-243200074"	"17119D-05-29-243200065"	"REF_GCF_003795065"	"REF_GCF_003971565"
"g005738"	0	1	1	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
"g005740"	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
"g005741"	0	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g005742"	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g005743"	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g005744"	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g005745"	0	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g005746"	0	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g005747"	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g005748"	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1
"g005749"	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g005750"	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g005751"	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g005752"	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g005753"	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g005754"	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g005755"	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g005756"	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g005757"	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g005758"	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g005762"	0	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0
"g005763"	0	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0
"g005764"	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g005765"	0	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0
"g005769"	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g005770"	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g005771"	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g005775"	0	0	1	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
"g005777"	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g005778"	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g005779"	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g005780"	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g005781"	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g005783"	0	0	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0
"g005784"	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g005785"	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
"g005786"	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
